0,1,2,3,4,5,6,7
,singular (vienaskaita),,plural (daugiskaita),,,,
1st person (pirmasis asmuo),2nd person (antrasis asmuo),3rd person (trečiasis asmuo),1st person (pirmasis asmuo),2nd person (antrasis asmuo),3rd person (trečiasis asmuo),,
,aš,tu,jis/ji,mes,jūs,jie/jos,
indicative (tiesioginė nuosaka),present (esamasis laikas),ganaũsi,ganaĩsi,gãnosi,gãnomės,gãnotės,gãnosi
past (būtasis kartinis laikas),ganiaũsi,ganeĩsi,gãnėsi,gãnėmės,gãnėtės,gãnėsi,
past frequentative (būtasis dažninis laikas),ganýdavausi,ganýdavaisi,ganýdavosi,ganýdavomės,ganýdavotės,ganýdavosi,
future (būsimasis laikas),ganýsiuosi,ganýsiesi,ganýsis,ganýsimės,ganýsitės,ganýsis,
subjunctive (tariamoji nuosaka),ganýčiausi,"ganýtumeisi, ganýtumsi",ganýtųsi,"ganýtumėmės, ganýtumės","ganýtumėtės, ganýtutės",ganýtų,
imperative (liepiamoji nuosaka),—,ganýkis,"tesigãno, tesigãn<ai/small>",ganýkimės,ganýkitės,"tesigãno, tesigãnai",
,plain,prefixed with be-,,,,,
present,gãnąsis,"besigãnąs, besigãnantis",,,,,
past,gãnęsis,besigãnęs,,,,,
past frequentative,ganýdavęsis,besiganýdavęs,,,,,
future,ganýsiąsis,"besiganýsiąs, besiganýsiantis",,,,,
,plain,prefixed with be-,,,,,
special adverbial participle,ganýdamasis,besiganýdamas,,,,,
,plain,prefixed with be-,,,,,
present adverbial,gãnantis,besigãnant,,,,,
past adverbial,gãnusis,besigãnus,,,,,
past frequentative adverbial,ganýdavusis,besiganýdavus,,,,,
future adverbial,ganýsiantis,besiganýsiant,,,,,
