0,1,2,3,4
,,,,
Plain Infinitive,anvechten,,,
Full Infinitive (Gerund),an tô vechtene or an tô vechtende,,,
Verbal Noun,anvechten or anvechtent,,,
Participles,Imperatives,,,
Present,anvechtende,2nd Person Singular,vecht an,
Past,angevuchten,2nd Person Plural,vechtet an,
Regular word order,Indicative,Subjunctive,,
Present,Preterite,Present,Preterite,
1st Person Singular,vechte an,vacht an,vechte an,vüchte an
2nd Person Singular,vechtest or vechtst an,vuchtest or vüchtest an,vechtest an,vüchtest an
3rd Person Singular,vechtet or vecht an,vacht an,vechtet an,vüchte an
Plural,vechten (vechtet annote),vuchten or vüchten an,vechten an,vüchten an
Optional alternative word order in Subordinate Clauses,Present,Preterite,Present,Preterite
1st Person Singular,anvechte,anvacht,anvechte,anvüchte
2nd Person Singular,anvechtest or anvechtst,anvuchtest or anvüchtest,anvechtest,anvüchtest
3rd Person Singular,anvechtet or anvecht,anvacht,anvechtet,anvüchte
Plural,anvechten (anvechtet¹),anvuchten or anvüchten,anvechten,anvüchten
