0,1,2,3
Present,Singular,Dual,Plural
1st person,gibju;gibjom,gibjomej,gibjomy
2nd person,gibjoš,gibjotej,gibjośo
3rd person,gibjo,gibjotej,gibju
Preterite,Singular,Dual,Plural
1st person,gibach,gibachmej,gibachmy
2nd person,gibašo,gibaštej,gibašćo
3rd person,gibašo,gibaštej,gibachu
Imperative,Singular,Dual,Plural
2nd person,gib,gibtej,gibśo
Present,Singular,Dual,Plural
1st person,gibam,gibamej,gibamy
2nd person,gibaš,gibatej,gibaśo
3rd person,giba,gibatej,gibaju
Preterite,Singular,Dual,Plural
1st person,gibach,gibachmej,gibachmy
2nd person,gibašo,gibaštej,gibašćo
3rd person,gibašo,gibaštej,gibachu
Imperative,Singular,Dual,Plural
2nd person,gibaj,gibajtej,gibajśo
