0,1,2,3,4
л-participles,imperfect,aorist,non-finite forms,
masculine,четкал,—,adjectival partc.,четкан
feminine,четкала,—,adverbial partc.,четкајќи
neuter,четкало,—,verbal noun,четкање
plural,четкале,—,,
,present,imperfect,aorist,imperative
1st singular,четкам,четкав,—,—
2nd singular,четкаш,четкаше,—,четкај
3rd singular,четка,четкаше,—,—
1st plural,четкаме,четкавме,—,—
2nd plural,четкате,четкавте,—,четкајте
3rd plural,четкаат,четкаа,—,—
Compound tenses,,,,
perfect,сум четкал,present of сум + imperfect л-participle,,
pluperfect,бев четкал,imperfect of сум + imperfect л-participle,,
future,ќе четкам,ќе + present,,
future in the past,ќе четкав,ќе + imperfect,,
future reported,ќе сум четкал,ќе + imperfect л-participle,,
conditional,би четкал,би + imperfect л-participle,,
