0,1,2,3,4
PIE root,,,,
*swep-,,,,
л-participles,imperfect,aorist,non-finite forms,
masculine,спиел,—,adjectival partc.,спиен
feminine,спиела,—,adverbial partc.,спиејќи
neuter,спиело,—,verbal noun,спиење
plural,спиеле,—,,
,present,imperfect,aorist,imperative
1st singular,спијам,спиев,—,—
2nd singular,спиеш,спиеше,—,спиј
3rd singular,спие,спиеше,—,—
1st plural,спиеме,спиевме,—,—
2nd plural,спиете,спиевте,—,спијте
3rd plural,спијат,спиеја,—,—
Compound tenses,,,,
perfect,сум спиел,present of сум + imperfect л-participle,,
pluperfect,бев спиел,imperfect of сум + imperfect л-participle,,
future,ќе спијам,ќе + present,,
future in the past,ќе спиев,ќе + imperfect,,
future reported,ќе сум спиел,ќе + imperfect л-participle,,
conditional,би спиел,би + imperfect л-participle,,
