0,1,2,3,4,5,6,7,8,9
Infinitive,elvn,,,,,,,,
Root,el-,,,,,,,,
Tense particles (See particles),-a- (future tense),,,,,,,,
-pe- (past tense),,,,,,,,,
-fu- (distant past tense),,,,,,,,,
person,singular,dual,plural,,,,,,
first,second,third,first,second,third,first,second,third,
Realis mood,iñce,eymi,fey,iñciw,eymu,feygu,iñciñ,eymvn,feygvn
elvn,elymi,ely,elyu,elymu,elygu,elyiñ,elymvn,elygvn,
Conditional mood,iñce,eymi,fey,iñciw,eymu,feygu,iñciñ,eymvn,feygvn
elli,ellimi,elle,elliyu,ellimu,elle egu,elliyiñ,ellimvn,elle egvn,
Volitive mood,iñce,eymi,fey,iñciw,eymu,feygu,iñciñ,eymvn,feygvn
elci,elge,elpe,elyu,elmu,elpe egu,elyiñ,elmvn,elpe egvn,
