0,1,2,3,4
IMPERFECTIVE,singular,duoplural,plural,
1st person,łinishchííʼ,łiniichííʼ,dałiniichííʼ,
2nd person,łiníchííʼ,łinohchííʼ,dałinohchííʼ,
3rd person,łichííʼ,"daalchííʼ, dałichííʼ",,
4th person,jilchííʼ,dajilchííʼ,,
Colors in Navajo · nidaashchʼąąʼígíí (layout · text),,,,
łichííʼ,"dinootłʼizh,chʼilgo dootłʼizh",łitso(light yellow: diniltso),dinilgai,łigai
?,?,?,?,dinilchííʼ
diłhiłgo dootłʼizh,dootłʼizh,łichxíʼí(light orange: diniltsxo),łibá(dark gray: dinilzhin),?
łizhin,tsédídéehgo dootłʼizh,"dibéłchíʼí, yishtłizh(dark brown: dinilzhin)",yágo dootłʼizh,dootłʼizhii
