0,1,2,3
"Even, đđ-đ gradation",,,
infinitive,gođđat,,
1st sing. present,gođan,,
1st sing. past,gođđen,,
infinitive,gođđat,,
present participle,gođ'đi,,
past participle,gođđan,,
verbal noun,gođđan,,
,present indicative,past indicative,imperative
1st singular,gođan,gođđen,gođđon
2nd singular,gođat,gođđet,gođa
3rd singular,gođđá,gođai,gođđos
1st dual,gođđe,gođaime,gođ'đu
2nd dual,gođđabeahtti,gođaide,gođ'đi
3rd dual,gođđaba,gođaiga,gođđoska
1st plural,gođđat,gođaimet,gođđotgođ'đut
2nd plural,gođđabehtet,gođaidet,gođđetgođ'đit
3rd plural,gođđet,gođđe,gođđoset
connegative,gođa,gođđan,gođa
,conditional 1,conditional 2,potential
1st singular,gođašingođašedjen,gođalingođaledjen,gođažan
2nd singular,gođašitgođašedjet,gođalitgođaledjet,gođažat
3rd singular,gođašii,gođalii,gođažagođaš
1st dual,gođašeimme,gođaleimme,gođažetne
2nd dual,gođašeidde,gođaleidde,gođažeahppi
3rd dual,gođašeigga,gođaleigga,gođažeaba
1st plural,gođašeimmet,gođaleimmet,gođažitgođažat
2nd plural,gođašeiddet,gođaleiddet,gođažehpet
3rd plural,gođašegođašedje,gođalegođaledje,gođažit
connegative,gođaše,gođale,gođaš
