0,1,2
Independent,positive,negative
1st person (1s) Niin,nin-zhiishiigwe,nin-zhiishiigwesii
2nd person (2s) Giin,gi-zhiishiigwe,gi-zhiishiigwesii
3rd person (3s) Wiin,zhiishiigwe,zhiishiigwesii
Obviative (3'),zhiishiigwewan,zhiishiigwesiiwan
Indefinite (X),zhiishiigwem,zhiishiigwesiim
1st person plural exclusive (1p) Niinawind,nin-zhiishiigwemin,nin-zhiishiigwesiimin
1st person plural inclusive (21) Giinawind,gi-zhiishiigwemin,gi-zhiishiigwesiimin
2nd person plural (2p) Giinawaa,gi-zhiishiigwem,gi-zhiishiigwesiim
3rd person plural (3p) Wiinawaa,zhiishiigwewag,zhiishiigwesiiwag
Conjunct,positive,negative
1st person (1s) Niin,zhiishiigweyaan,zhiishiigwesiwaan
2nd person (2s) Giin,zhiishiigweyan/yin,zhiishiigwesiwan/siwin
3rd person (3s) Wiin,zhiishiigwed,zhiishiigwesig
Obviative (3'),zhiishiigwenid,zhiishiigwesinid/sinig
Indefinite (X),zhiishiigweng,zhiishiigwesing
1st person plural exclusive (1p) Niinawind,zhiishiigweyaang,zhiishiigwesiwaang
1st person plural inclusive (21) Giinawind,zhiishiigweyang/ying,zhiishiigwesiwang/siwing
2nd person plural (2p) Giinawaa,zhiishiigweyeg,zhiishiigwesiweg
3rd person plural (3p) Wiinawaa,zhiishiigwewaad,zhiishiigwesiwaa
