0,1,2,3,4
,singular (uncountable),,,
nominative,աջ ‎(aǰ),,,
genitive,աջոյ ‎(aǰoy),,,
dative,աջոյ ‎(aǰoy),,,
accusative,աջ ‎(aǰ),,,
ablative,"աջոյ, աջմէ ‎(aǰoy, aǰmē)",,,
instrumental,աջով ‎(aǰov),,,
locative,աջում ‎(aǰum),,,
note the irregular ablative and locative,,,,
,singular (uncountable),,,
nominative,աջ ‎(aǰ),,,
genitive,աջու ‎(aǰu),,,
dative,աջու ‎(aǰu),,,
accusative,աջ ‎(aǰ),,,
ablative,աջէ ‎(aǰē),,,
instrumental,աջու ‎(aǰu),,,
locative,աջու ‎(aǰu),,,
,singular (uncountable),,,
nominative,աջ ‎(aǰ),,,
genitive,աջի ‎(aǰi),,,
dative,աջի ‎(aǰi),,,
accusative,աջ ‎(aǰ),,,
ablative,աջէ ‎(aǰē),,,
instrumental,աջիւ ‎(aǰiw),,,
locative,աջի ‎(aǰi),,,
post-classical,,,,
անյաջ ‎(anyaǰ)  աջագահ ‎(aǰagah)  աջաթեւ ‎(aǰatʿew)  աջալրջութիւն ‎(aǰalrǰutʿiwn)  աջական ‎(aǰakan)  աջակից ‎(aǰakicʿ)  աջակող ‎(aǰakoł)  աջակողմ ‎(aǰakołm)  աջակողման ‎(aǰakołman),,աջակողմեան ‎(aǰakołmean)  աջակողմն ‎(aǰakołmn)  աջակոյս ‎(aǰakoys)  աջակցեմ ‎(aǰakcʿem)  աջակցիմ ‎(aǰakcʿim)  աջաւորիմ ‎(aǰaworim)  աջեակ ‎(aǰeak)  աջեայ ‎(aǰeay)  աջեմ ‎(aǰem),,աջի ‎(aǰi)  աջին ‎(aǰin)  աջող ‎(aǰoł)  առաջ ‎(aṙaǰ)  յաջորդ ‎(yaǰord)
