0,1,2,3
<  5th,6th,7th  >,
Cardinal : վեց ‎(vecʿ)     Ordinal : վեցերորդ ‎(vecʿerord),,,
,,,
,singular,,plural
nominative,վեցերորդ ‎(vecʿerord),վեցերորդք ‎(vecʿerordkʿ),
genitive,վեցերորդի ‎(vecʿerordi),վեցերորդաց ‎(vecʿerordacʿ),
dative,"վեցերորդի, վեցերորդում ‎(vecʿerordi, vecʿerordum)",վեցերորդաց ‎(vecʿerordacʿ),
accusative,վեցերորդ ‎(vecʿerord),վեցերորդս ‎(vecʿerords),
ablative,վեցերորդէ ‎(vecʿerordē),վեցերորդաց ‎(vecʿerordacʿ),
instrumental,վեցերորդաւ ‎(vecʿerordaw),վեցերորդաւք = վեցերորդօք ‎(vecʿerordawkʿ = vecʿerordōkʿ),
locative,"ի վեցերորդի, ի վեցերորդում ‎(i vecʿerordi, i vecʿerordum)",վեցերորդս ‎(vecʿerords),
note the kinky dative/locative,,,
