0,1,2,3,4
,singular,,plural,
nominative,վաճառ ‎(vačaṙ),վաճառք ‎(vačaṙkʿ),,
genitive,վաճառի ‎(vačaṙi),վաճառաց ‎(vačaṙacʿ),,
dative,վաճառի ‎(vačaṙi),վաճառաց ‎(vačaṙacʿ),,
accusative,վաճառ ‎(vačaṙ),վաճառս ‎(vačaṙs),,
ablative,վաճառէ ‎(vačaṙē),վաճառաց ‎(vačaṙacʿ),,
instrumental,վաճառաւ ‎(vačaṙaw),վաճառաւք = վաճառօք ‎(vačaṙawkʿ = vačaṙōkʿ),,
locative,վաճառի ‎(vačaṙi),վաճառս ‎(vačaṙs),,
,singular,,plural,
nominative,վաճառ ‎(vačaṙ),վաճառք ‎(vačaṙkʿ),,
genitive,վաճառու ‎(vačaṙu),վաճառուց ‎(vačaṙucʿ),,
dative,վաճառու ‎(vačaṙu),վաճառուց ‎(vačaṙucʿ),,
accusative,վաճառ ‎(vačaṙ),վաճառս ‎(vačaṙs),,
ablative,վաճառէ ‎(vačaṙē),վաճառուց ‎(vačaṙucʿ),,
instrumental,վաճառու ‎(vačaṙu),վաճառուք ‎(vačaṙukʿ),,
locative,վաճառու ‎(vačaṙu),վաճառս ‎(vačaṙs),,
,singular,,plural,
nominative,վաճառ ‎(vačaṙ),վաճառք ‎(vačaṙkʿ),,
genitive,վաճառոյ ‎(vačaṙoy),վաճառոց ‎(vačaṙocʿ),,
dative,վաճառոյ ‎(vačaṙoy),վաճառոց ‎(vačaṙocʿ),,
accusative,վաճառ ‎(vačaṙ),վաճառս ‎(vačaṙs),,
ablative,վաճառոյ ‎(vačaṙoy),վաճառոց ‎(vačaṙocʿ),,
instrumental,վաճառով ‎(vačaṙov),վաճառովք ‎(vačaṙovkʿ),,
locative,վաճառ ‎(vačaṙ),վաճառս ‎(vačaṙs),,
this one is post-classical,,,,
աղաւնավաճառ ‎(aławnavačaṙ)  աղաւնեվաճառ ‎(aławnevačaṙ)  աղաւնէվաճառ ‎(aławnēvačaṙ)  ամենավաճառ ‎(amenavačaṙ)  անձնավաճառ ‎(anjnavačaṙ)  անվաճառ ‎(anvačaṙ)  անվաճառելի ‎(anvačaṙeli)  աստուածավաճառ ‎(astuacavačaṙ)  աստուածավաճառութիւն ‎(astuacavačaṙutʿiwn)  ասրավաճառ ‎(asravačaṙ)  արծաթավաճառ ‎(arcatʿavačaṙ)  բազմավաճառ ‎(bazmavačaṙ)  բանավաճառ ‎(banavačaṙ)  բանջարավաճառ ‎(banǰaravačaṙ)  գինավաճառու ‎(ginavačaṙu)  գինեվաճառ ‎(ginevačaṙ)  գինեվաճառիկ ‎(ginevačaṙik)  դիւրավաճառ ‎(diwravačaṙ)  ընչավաճառութիւն ‎(ənčʿavačaṙutʿiwn)  ժամավաճառ ‎(žamavačaṙ)  ժամավաճառութիւն ‎(žamavačaṙutʿiwn)  խոհավաճառ ‎(xohavačaṙ)  խոհավաճառեմ ‎(xohavačaṙem)  խոհավաճառութիւն ‎(xohavačaṙutʿiwn)  ծիրանավաճառ ‎(ciranavačaṙ),,ծիրանեվաճառ ‎(ciranevačaṙ)  ծիրանէվաճառ ‎(ciranēvačaṙ)  կաղամբավաճառ ‎(kałambavačaṙ)  հատավաճառ ‎(hatavačaṙ)  հացավաճառ ‎(hacʿavačaṙ)  հաւատավաճառ ‎(hawatavačaṙ)  ճշդավաճառ ‎(čšdavačaṙ)  մարդավաճառ ‎(mardavačaṙ)  մարմնավաճառ ‎(marmnavačaṙ)  մսավաճառ ‎(msavačaṙ)  մսավաճառանոց ‎(msavačaṙanocʿ)  նախավաճառող ‎(naxavačaṙoł)  շահավաճառ ‎(šahavačaṙ)  շահավաճառութիւն ‎(šahavačaṙutʿiwn)  շնորհավաճառ ‎(šnorhavačaṙ)  շնորհավաճառութիւն ‎(šnorhavačaṙutʿiwn)  ոչխարավաճառ ‎(očʿxaravačaṙ)  ոսկեվաճառութիւն ‎(oskevačaṙutʿiwn)  սղավաճառ ‎(słavačaṙ)  վաճառախաբութիւն ‎(vačaṙaxabutʿiwn)  վաճառական ‎(vačaṙakan)  վաճառականապէս ‎(vačaṙakanapēs)  վաճառականութիւն ‎(vačaṙakanutʿiwn)  վաճառակից ‎(vačaṙakicʿ),,վաճառակուր ‎(vačaṙakur)  վաճառակցութիւն ‎(vačaṙakcʿutʿiwn)  վաճառայօրէն ‎(vačaṙayōrēn)  վաճառանոց ‎(vačaṙanocʿ)  վաճառաշահ ‎(vačaṙašah)  վաճառաշահիկ ‎(vačaṙašahik)  վաճառաշահութիւն ‎(vačaṙašahutʿiwn)  վաճառապետ ‎(vačaṙapet)  վաճառասէր ‎(vačaṙasēr)  վաճառասիրութիւն ‎(vačaṙasirutʿiwn)  վաճառատեղի ‎(vačaṙatełi)  վաճառարան ‎(vačaṙaran)  վաճառաւոր ‎(vačaṙawor)  վաճառափողոց ‎(vačaṙapʿołocʿ)  վաճառեմ ‎(vačaṙem)  վաճառիկ ‎(vačaṙik)  վաճառօրէն ‎(vačaṙōrēn)  վաշխավաճառ ‎(vašxavačaṙ)  տիրավաճառ ‎(tiravačaṙ)  տօնավաճառ ‎(tōnavačaṙ)  ցորենավաճառ ‎(cʿorenavačaṙ)  փոխավաճառութիւն ‎(pʿoxavačaṙutʿiwn)  քաղցրավաճառ ‎(kʿałcʿravačaṙ)  քրիստոսավաճառ ‎(kʿristosavačaṙ)
