0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
infinitive,понести,supine,понестъ,,,,,,,,,,,,,,,,,
person,singular,dual,plural,,,,,,,,,,,,,,,,,
first,second,third,first,second,third,first,second,third,,,,,,,,,,,,
present,понесѫ,понесеши,понесетъ,понесевѣ,понесета,понесете,понесемъ,понесете,понесѫтъ,,,,,,,,,,,
imperfect,понесахъ,понесаше,понесаше,понесаховѣ,понесашета,понесашете,понесахомъ,понесашете,понесахѫ,,,,,,,,,,,
aorist,понесохъ,понесо,понесо,понесоховѣ,понесоста,понесосте,понесохомъ,понесосте,понесошѧ,,,,,,,,,,,
perfect,pos.,m,понеслъ,ѥсмь,понеслъ,ѥси,понеслъ,ѥстъ,понесла,ѥсвѣ,понесла,ѥста,понесла,ѥсте,понесли,ѥмъ,понесли,ѥсте,понесли,сѫтъ
f,понесла,понесла,понесла,понеслѣ,понеслѣ,понеслѣ,понеслꙑ,понеслꙑ,понеслꙑ,,,,,,,,,,,
n,понесло,понесло,понесло,понеслѣ,понеслѣ,понеслѣ,понесла,понесла,понесла,,,,,,,,,,,
neg.,m,понеслъ,нѣсмь,понеслъ,нѣси,понеслъ,нѣстъ,понесла,нѣсвѣ,понесла,нѣста,понесла,нѣсте,понесли,нѣсмъ,понесли,нѣсте,понесли,не сѫтъ,
f,понесла,понесла,понесла,понеслѣ,понеслѣ,понеслѣ,понеслꙑ,понеслꙑ,понеслꙑ,,,,,,,,,,,
n,понесло,понесло,понесло,понеслѣ,понеслѣ,понеслѣ,понесла,понесла,понесла,,,,,,,,,,,
pluperfect,m,понеслъ,бѣхъ,понеслъ,бѣ,понеслъ,бѣ,понесла,бѣховѣ,понесла,бѣста,понесла,бѣсте,понесли,бѣхомъ,понесли,бѣсте,понесли,бѣшѧ,
бѣахъ,бѣаше,бѣаше,бѣаховѣ,бѣашета,бѣашете,бѣахомъ,бѣашете,бѣахѫ,,,,,,,,,,,,
бꙑлъ ѥсмь,бꙑлъ ѥси,бꙑлъ ѥстъ,бꙑла ѥсвѣ,бꙑла ѥста,бꙑла ѥсте,бꙑли ѥсмъ,бꙑли ѥсте,бꙑли сѫтъ,,,,,,,,,,,,
f,понеслa,бѣхъ,понеслa,бѣ,понеслa,бѣ,понеслѣ,бѣховѣ,понеслѣ,бѣста,понеслѣ,бѣсте,понеслꙑ,бѣхомъ,понеслꙑ,бѣсте,понеслꙑ,бѣшѧ,,
бѣахъ,бѣаше,бѣаше,бѣаховѣ,бѣашета,бѣашете,бѣахомъ,бѣашете,бѣахѫ,,,,,,,,,,,,
бꙑла ѥсмь,бꙑла ѥси,бꙑла ѥстъ,бꙑлѣ ѥсвѣ,бꙑлѣ ѥста,бꙑлѣ ѥсте,бꙑлꙑ ѥсмъ,бꙑлꙑ ѥсте,бꙑлꙑ сѫтъ,,,,,,,,,,,,
n,понесло,бѣхъ,понесло,бѣ,понесло,бѣ,понеслѣ,бѣховѣ,понеслѣ,бѣста,понеслѣ,бѣсте,понесла,бѣхомъ,понесла,бѣсте,понесла,бѣшѧ,,
бѣахъ,бѣаше,бѣаше,бѣаховѣ,бѣашета,бѣашете,бѣахомъ,бѣашете,бѣахѫ,,,,,,,,,,,,
бꙑло ѥсмь,бꙑло ѥси,бꙑло ѥстъ,бꙑлѣ ѥсвѣ,бꙑлѣ ѥста,бꙑлѣ ѥсте,бꙑла ѥсмъ,бꙑла ѥсте,бꙑла сѫтъ,,,,,,,,,,,,
future perfect,m,понеслъ,бѫдѫ,понеслъ,бѫдеши,понеслъ,бѫдетъ,понесла,бѫдевѣ,понесла,бѫдета,понесла,бѫдете,понесли,бѫдемъ,понесли,бѫдете,понесли,бѫдѫтъ,
f,понесла,понесла,понесла,понеслѣ,понеслѣ,понеслѣ,понеслꙑ,понеслꙑ,понеслꙑ,,,,,,,,,,,
n,понесло,понесло,понесло,понеслѣ,понеслѣ,понеслѣ,понесла,понесла,понесла,,,,,,,,,,,
conditional,m,понеслъ,бимь,понеслъ,би,понеслъ,би,понесла,бивѣ,понесла,биста,понесла,бисте,понесли,бимъ (бихомъ),понесли,бисте,понесли,бѫ (бишѧ),
f,понесла,понесла,понесла,понеслѣ,понеслѣ,понеслѣ,понеслꙑ,понеслꙑ,понеслꙑ,,,,,,,,,,,
n,понесло,понесло,понесло,понеслѣ,понеслѣ,понеслѣ,понесла,понесла,понесла,,,,,,,,,,,
imperative,,понеси,понеси,понесѣвѣ,понесѣта,,понесѣмъ,понесѣте,,,,,,,,,,,,
short forms,,,,,,,,,,,,,,,,,,,,
,masculine,feminine,neuter,,,,,,,,,,,,,,,,,
singular,dual,plural,singular,dual,plural,singular,dual,plural,,,,,,,,,,,,
nominative,понесꙑ,понесѫща,понесѫще,понесѫщи,понесѫщи,понесѫщѧ,понесꙑ,понесѫщи,понесѫща,,,,,,,,,,,
genitive,понесѫща,понесѫщю,понесѫщь,понесѫщѧ,понесѫщю,понесѫщь,понесѫща,понесѫщю,понесѫщь,,,,,,,,,,,
dative,понесѫщю,понесѫщема,понесѫщемъ,понесѫщи,понесѫщама,понесѫщамъ,понесѫщю,понесѫщема,понесѫщемъ,,,,,,,,,,,
accusative,понесѫщь,понесѫща,понесѫщѧ,понесѫщѫ,понесѫщи,понесѫщѧ,понесꙑ,понесѫщи,понесѫща,,,,,,,,,,,
instrumental,понесѫщемь,понесѫщема,понесѫщи,понесѫщеѭ,понесѫщама,понесѫщами,понесѫщемь,понесѫщема,понесѫщи,,,,,,,,,,,
locative,понесѫщи,понесѫщю,понесѫщихъ,понесѫщи,понесѫщю,понесѫщахъ,понесѫщи,понесѫщю,понесѫщихъ,,,,,,,,,,,
long forms,,,,,,,,,,,,,,,,,,,,
nominative,понесꙑи,понесѫщаꙗ,понесѫщеи,понесѫщиꙗ,понесѫщии,понесѫщѧѩ,понесѫщеѥ,понесѫщи,понесѫщаꙗ,,,,,,,,,,,
genitive,понесѫщаѥго,понесѫщюю,понесѫщиихъ,понесѫщѧѩ,понесѫщюю,понесѫщиихъ,понесѫщаѥго,понесѫщюю,понесѫщиихъ,,,,,,,,,,,
dative,понесѫщюѥмоу,понесѫщиима,понесѫщиимъ,понесѫщии,понесѫщиима,понесѫщиимъ,понесѫщюѥмоу,понесѫщиима,понесѫщиимъ,,,,,,,,,,,
accusative,понесѫщьи,понесѫщаꙗ,понесѫщѧѩ,понесѫщѫѭ,понесѫщии,понесѫщѧѩ,понесѫщеѥ,понесѫщи,понесѫщаꙗ,,,,,,,,,,,
instrumental,понесѫщиимь,понесѫщиима,понесѫщиими,понесѫщеѭ,понесѫщиима,понесѫщиими,понесѫщиимь,понесѫщиима,понесѫщиими,,,,,,,,,,,
locative,понесѫщиимь,понесѫщюю,понесѫщиихъ,понесѫщии,понесѫщюю,понесѫщиихъ,понесѫщиимь,понесѫщюю,понесѫщиихъ,,,,,,,,,,,
short forms,,,,,,,,,,,,,,,,,,,,
,masculine,feminine,neuter,,,,,,,,,,,,,,,,,
singular,dual,plural,singular,dual,plural,singular,dual,plural,,,,,,,,,,,,
nominative,понесомъ,понесома,понесоми,понесома,понесомѣ,понесомꙑ,понесомо,понесомѣ,понесома,,,,,,,,,,,
genitive,понесома,понесомоу,понесомъ,понесомꙑ,понесомоу,понесомъ,понесома,понесомоу,понесомъ,,,,,,,,,,,
dative,понесомоу,понесомома,понесомомъ,понесомѣ,понесомама,понесомамъ,понесомоу,понесомома,понесомомъ,,,,,,,,,,,
accusative,понесомъ,понесома,понесомꙑ,понесомѫ,понесомѣ,понесомꙑ,понесомо,понесомѣ,понесома,,,,,,,,,,,
instrumental,понесомомь,понесомома,понесомꙑ,понесомоѭ,понесомама,понесомами,понесомомь,понесомома,понесомꙑ,,,,,,,,,,,
locative,понесомѣ,понесомоу,понесомѣхъ,понесомѣ,понесомоу,понесомахъ,понесомꙑ,понесомоу,понесомѣхъ,,,,,,,,,,,
long forms,,,,,,,,,,,,,,,,,,,,
nominative,понесомꙑи,понесомаꙗ,понесомии,понесомаꙗ,понесомѣи,понесомꙑѩ,понесомоѥ,понесомѣи,понесомаꙗ,,,,,,,,,,,
genitive,понесомaѥго,понесомоую,понесомꙑихъ,понесомꙑѩ,понесомоую,понесомꙑихъ,понесомаѥго,понесомоую,понесомꙑихъ,,,,,,,,,,,
dative,понесомоуѥмоу,понесомꙑима,понесомꙑимъ,понесомѣи,понесомꙑима,понесомꙑимъ,понесомоуѥмоу,понесомꙑима,понесомꙑимъ,,,,,,,,,,,
accusative,понесомꙑи,понесомаꙗ,понесомꙑѩ,понесомѫѭ,понесомѣи,понесомꙑѩ,понесомоѥ,понесомѣи,понесомаꙗ,,,,,,,,,,,
instrumental,понесомꙑимь,понесомꙑима,понесомꙑими,понесомоѭ,понесомꙑима,понесомꙑими,понесомꙑимь,понесомꙑима,понесомꙑими,,,,,,,,,,,
locative,понесомѣѥмь,понесомоую,понесомꙑихъ,понесомѣи,понесомоую,понесомꙑихъ,понесомѣѥмь,понесомоую,понесомꙑихъ,,,,,,,,,,,
short forms,,,,,,,,,,,,,,,,,,,,
,masculine,feminine,neuter,,,,,,,,,,,,,,,,,
singular,dual,plural,singular,dual,plural,singular,dual,plural,,,,,,,,,,,,
nominative,понесъ,понесъша,понесъше,понесъши,понесъши,понесъшѧ,понесъ,понесъши,понесъша,,,,,,,,,,,
genitive,понесъша,понесъшю,понесъшь,понесъшѧ,понесъшю,понесъшь,понесъша,понесъшю,понесъшь,,,,,,,,,,,
dative,понесъшю,понесъшема,понесъшемъ,понесъши,понесъшама,понесъшамъ,понесъшю,понесъшема,понесъшемъ,,,,,,,,,,,
accusative,понесъшь,понесъша,понесъшѧ,понесъшѫ,понесъши,понесъшѧ,понесъ,понесъши,понесъша,,,,,,,,,,,
instrumental,понесъшемь,понесъшема,понесъши,понесъшеѭ,понесъшама,понесъшами,понесъшемь,понесъшема,понесъши,,,,,,,,,,,
locative,понесъши,понесъшю,понесъшихъ,понесъши,понесъшю,понесъшахъ,понесъши,понесъшю,понесъшихъ,,,,,,,,,,,
long forms,,,,,,,,,,,,,,,,,,,,
nominative,понесевꙑи,понесъшаꙗ,понесъшеи,понесъшиꙗ,понесъшии,понесъшѧѩ,понесъшеѥ,понесъши,понесъшаꙗ,,,,,,,,,,,
genitive,понесъшаѥго,понесъшюю,понесъшиихъ,понесъшѧѩ,понесъшюю,понесъшиихъ,понесъшаѥго,понесъшюю,понесъшиихъ,,,,,,,,,,,
dative,понесъшюѥмоу,понесъшиима,понесъшиимъ,понесъшии,понесъшиима,понесъшиимъ,понесъшюѥмоу,понесъшиима,понесъшиимъ,,,,,,,,,,,
accusative,понесъшьи,понесъшаꙗ,понесъшѧѩ,понесъшѫѭ,понесъшии,понесъшѧѩ,понесъшеѥ,понесъши,понесъшаꙗ,,,,,,,,,,,
instrumental,понесъшиимь,понесъшиима,понесъшиими,понесъшеѭ,понесъшиима,понесъшиими,понесъшиимь,понесъшиима,понесъшиими,,,,,,,,,,,
locative,понесъшиимь,понесъшюю,понесъшиихъ,понесъшии,понесъшюю,понесъшиихъ,понесъшиимь,понесъшюю,понесъшиихъ,,,,,,,,,,,
masculine,feminine,neuter,,,,,,,,,,,,,,,,,,
singular,dual,plural,singular,dual,plural,singular,dual,plural,,,,,,,,,,,,
понеслъ,понесла,понесли,понесла,понеслѣ,понеслꙑ,понесло,понеслѣ,понесла,,,,,,,,,,,,
short forms,,,,,,,,,,,,,,,,,,,,
,masculine,feminine,neuter,,,,,,,,,,,,,,,,,
singular,dual,plural,singular,dual,plural,singular,dual,plural,,,,,,,,,,,,
nominative,понесенъ,понесена,понесени,понесена,понесенѣ,понесенꙑ,понесено,понесенѣ,понесена,,,,,,,,,,,
genitive,понесена,понесеноу,понесенъ,понесенꙑ,понесеноу,понесенъ,понесена,понесеноу,понесенъ,,,,,,,,,,,
dative,понесеноу,понесенома,понесеномъ,понесенѣ,понесенама,понесенамъ,понесеноу,понесенома,понесеномъ,,,,,,,,,,,
accusative,понесенъ,понесена,понесенꙑ,понесенѫ,понесенѣ,понесенꙑ,понесено,понесенѣ,понесена,,,,,,,,,,,
instrumental,понесеномь,понесенома,понесенꙑ,понесеноѭ,понесенама,понесенами,понесеномь,понесенома,понесенꙑ,,,,,,,,,,,
locative,понесенѣ,понесеноу,понесенѣхъ,понесенѣ,понесеноу,понесенахъ,понесенꙑ,понесеноу,понесенѣхъ,,,,,,,,,,,
long forms,,,,,,,,,,,,,,,,,,,,
nominative,понесенꙑи,понесенаꙗ,понесении,понесенаꙗ,понесенѣи,понесенꙑѩ,понесеноѥ,понесенѣи,понесенаꙗ,,,,,,,,,,,
genitive,понесенaѥго,понесеноую,понесенꙑихъ,понесенꙑѩ,понесеноую,понесенꙑихъ,понесенаѥго,понесеноую,понесенꙑихъ,,,,,,,,,,,
dative,понесеноуѥмоу,понесенꙑима,понесенꙑимъ,понесенѣи,понесенꙑима,понесенꙑимъ,понесеноуѥмоу,понесенꙑима,понесенꙑимъ,,,,,,,,,,,
accusative,понесенꙑи,понесенаꙗ,понесенꙑѩ,понесенѫѭ,понесенѣи,понесенꙑѩ,понесеноѥ,понесенѣи,понесенаꙗ,,,,,,,,,,,
instrumental,понесенꙑимь,понесенꙑима,понесенꙑими,понесеноѭ,понесенꙑима,понесенꙑими,понесенꙑимь,понесенꙑима,понесенꙑими,,,,,,,,,,,
locative,понесенѣѥмь,понесеноую,понесенꙑихъ,понесенѣи,понесеноую,понесенꙑихъ,понесенѣѥмь,понесеноую,понесенꙑихъ,,,,,,,,,,,
