0,1,2,3,4,5,6,7,8,9,10,11
Weak,Strong,,,,,,,,,,
case,singular,plural,case,singular,plural,,,,,,
m,n,f,m,n,f,m,n,f,,,
nominative,andġieta,andġiete,andġiete,andġietan,nom.,andġiete,andġiete,andġietu,andġiete,"andġietu, -e","andġieta, -e"
accusative,andġietan,andġiete,andġietan,acc.,andġietne,andġiete,andġiete,andġiete,"andġietu, -e","andġieta, -e",
genitive,andġietan,"andġietra, andġietena",gen.,andġietes,andġietes,andġietre,andġietra,,,,
dative,andġietan,andġietum,dat.,andġietum,andġietum,andġietre,andġietum,,,,
instrumental,andġiete,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,
nominative,andġiete,andġietan,,,,,,,,,
accusative,andġietan,andġietan,,,,,,,,,
genitive,andġietan,andġietena,,,,,,,,,
dative,andġietan,andġietum,,,,,,,,,
