0,1,2,3
Case,Singular,Plural,
nominative,sealt,sealt,
accusative,sealt,sealt,
genitive,sealtes,sealta,
dative,sealte,sealtum,
Singular,Masculine,Feminine,Neuter
Nominative,sealt,sealt,sealt
Accusative,sealtne,sealte,sealt
Genitive,sealtes,sealtre,sealtes
Dative,sealtum,sealtre,sealtum
Instrumental,sealte,sealtre,sealte
Plural,Masculine,Feminine,Neuter
Nominative,sealte,"sealta, -e",sealt
Accusative,sealte,"sealta, -e",sealt
Genitive,sealtra,sealtra,sealtra
Dative,sealtum,sealtum,sealtum
Instrumental,sealtum,sealtum,sealtum
Singular,Masculine,Feminine,Neuter
Nominative,sealta,sealte,sealte
Accusative,sealtan,sealtan,sealte
Genitive,sealtan,sealtan,sealtan
Dative,sealtan,sealtan,sealtan
Instrumental,sealtan,sealtan,sealtan
Plural,Masculine,Feminine,Neuter
Nominative,sealtan,sealtan,sealtan
Accusative,sealtan,sealtan,sealtan
Genitive,"sealtra, sealtena","sealtra, sealtena","sealtra, sealtena"
Dative,sealtum,sealtum,sealtum
Instrumental,sealtum,sealtum,sealtum
verbs  sealtan  sieltan  gesieltan  nouns  sealtærn  sealtbrōc  sealtere  sealtern  sealtfæt  sealthalgung  sealtherpæþ,,sealthus  sealtleah  sealtleap  sealtnes  sealtsæleþa  sealtseaþ  sealtstan  sealtstræt  sealtwic  sealtwielle  sealtyþ  adjectives  sealten,
