0,1,2,3
Singular,Masculine,Feminine,Neuter
Nominative,cūþ,cūþ,cūþ
Accusative,cūþne,cūþe,cūþ
Genitive,cūþes,cūþre,cūþes
Dative,cūþum,cūþre,cūþum
Instrumental,cūþe,cūþre,cūþe
Plural,Masculine,Feminine,Neuter
Nominative,cūþe,"cūþa, -e",cūþ
Accusative,cūþe,"cūþa, -e",cūþ
Genitive,cūþra,cūþra,cūþra
Dative,cūþum,cūþum,cūþum
Instrumental,cūþum,cūþum,cūþum
Singular,Masculine,Feminine,Neuter
Nominative,cūþa,cūþe,cūþe
Accusative,cūþan,cūþan,cūþe
Genitive,cūþan,cūþan,cūþan
Dative,cūþan,cūþan,cūþan
Instrumental,cūþan,cūþan,cūþan
Plural,Masculine,Feminine,Neuter
Nominative,cūþan,cūþan,cūþan
Accusative,cūþan,cūþan,cūþan
Genitive,"cūþra, cūþena","cūþra, cūþena","cūþra, cūþena"
Dative,cūþum,cūþum,cūþum
Instrumental,cūþum,cūþum,cūþum
cūþe  cūþian,,cūþnama  cūþnes,
