0,1,2
infinitive,bringan,tō bringanne
indicative,present,past
1st-person singular,bringe,brang
2nd-person singular,bringest,brunge
3rd-person singular,bringeþ,brang
plural,bringaþ,brungon
subjunctive,present,past
singular,bringe,brunge
plural,bringen,brungen
imperative,,
singular,bring,
plural,bringaþ,
participle,present,past
,bringende,(ġe)brungen
infinitive,bringan,tō bringanne
indicative,present,past
1st-person singular,bringe,brōhte
2nd-person singular,bringest,brōhtest
3rd-person singular,bringeþ,brōhte
plural,bringaþ,brōhton
subjunctive,present,past
singular,bringe,brōhte
plural,bringen,brōhten
imperative,,
singular,bring,
plural,bringaþ,
participle,present,past
,bringende,(ġe)brōht
