0,1,2,3,4,5,6,7
vëoir  veir  veer,,vedir (early Old French)  vedeir (early Old French),,,,,
,simple,compound,,,,,
infinitive,veoir,"avoir veü, vis",,,,,
gerund,"en veant, voiant",Use the gerund of avoir followed by the past participle,,,,,
present participle,"veant, voiant",,,,,,
past participle,"veü, vis",,,,,,
person,singular,plural,,,,,
first,second,third,first,second,third,,
indicative,jo,tu,il,nos,vos,il,
simpletenses,present,voi,voiz,voit,veons,veez,voient
imperfect,"veoie, veeie","veoies, veeies","veoit, veeit","veïiens, veïens","veïiez, veïez","veoient, veeient",
preterite,vi,veïs,vit,veïmes,veïstes,virent,
future,verai,veras,vera,verons,"veroiz, vereiz, verez",veront,
conditional,"veroie, vereie","veroies, vereies","veroit, vereit","veriiens, veriens","veriiez, veriez","veroient, vereient",
compoundtenses,present perfect,Use the present tense of avoir followed by the past participle,,,,,
pluperfect,Use the imperfect tense of avoir followed by the past participle,,,,,,
past anterior,Use the preterite tense of avoir followed by the past participle,,,,,,
future perfect,Use the future tense of avoir followed by the past participle,,,,,,
conditional perfect,Use the conditional tense of avoir followed by the past participle,,,,,,
subjunctive,que jo,que tu,qu’il,que nos,que vos,qu’il,
simpletenses,present,voie,voies,voie,"veons, voiiens, voions","veez, voiiez",voient
imperfect,veïsse,veïsses,veïst,"veïssons, veïssiens","veïssoiz, veïssez, veïssiez",veïssent,
compoundtenses,past,Use the present subjunctive of avoir followed by the past participle,,,,,
pluperfect,Use the imperfect subjunctive of avoir followed by the past participle,,,,,,
imperative,–,tu,–,nos,vos,–,
—,voi,—,veons,"veez, vez",—,,
