0,1,2,3,4,5,6,7,8,9
,1st sg.,2nd sg.,3rd sg.,1st pl.,2nd pl.,3rd pl.,Passive sg.,Passive pl.,
Present,Abs.,biru,biri,beirid,bermai,,berait,berair,bertair
Conj.,·biur,·bir,·beir,·beram,·beirid,·berat,·berar,·bertar,
Rel.,,,beires,,,bertae,berar,bertar,
,,,,,,,,,
Imperfect,·beirinn,,·beired,·beirmis,,·beirtis,·beirthe,·beirtis,
,,,,,,,,,
Preterite,Abs.,,,birt,,,,brethae,
Conj.,·biurt,·birt,·bert,,,·bertatar,·breth,·bretha,
Rel.,,,bert,,,bertatar,,,
,,,,,,,,,
Perfect,Deut.,,,,,,,,
Prot.,,,,,,,,,
,,,,,,,,,
Future,Abs.,,bérae,béraid,,,bérait,bérthair,
Conj.,·bér,·bérae,·béra,·béram,,·bérat,·bérthar,·bértar,
Rel.,,,béras,,,bértae,bérthar,,
,,,,,,,,,
Conditional,·bérainn,·bértha,·bérad,·bérmais,·bérthae,·bértais,·bérthae,,
,,,,,,,,,
Present subjunctive,Abs.,,,beraid,,,,berthair,
Conj.,·ber,·berae,·bera,·beram,·beraid,·berat,·berthar,·bertar,
Rel.,,,,,,bertae,,,
,,,,,,,,,
Past subjunctive,·berainn,·bertha,·berad,·bermais,·berthae,·bertais,·berthae,·bertais,
,,,,,,,,,
Imperative,,beir,beired,beram,beirid,,berar,,
,,,,,,,,,
Verbal noun,breth,,,,,,,,
Past participle,,,,,,,,,
Verbal of necessity,,,,,,,,,
Note: only forms actually attested in Old Irish are listed here.,,,,,,,,,
,1st sg.,2nd sg.,3rd sg.,1st pl.,2nd pl.,3rd pl.,Passive sg.,Passive pl.,
Present,Deut.,,,ro·ucca,,,,ro·ucthar,
Prot.,·rucaim,,·ruca,,,·rucat,·ructhar,,
,,,,,,,,,
Imperfect,Deut.,,,,,,,,
Prot.,,,·rucad,,,·ructais,,,
,,,,,,,,,
Preterite,Deut.,,,,,,,,
Prot.,,,,,,,,,
,,,,,,,,,
Perfect,Deut.,ro·uccus,,"ro·ucc, ro·uic",,ro·ucsaid,ro·ucsat,ro·ucad,ro·uctha
Prot.,·rucus,·rucais,·ruc,,,·rucsat,·rucad,·ructha,
,,,,,,,,,
Future,Deut.,,,,,,,,
Prot.,,,,,,,·rucfaither,·rucfaiter,
,,,,,,,,,
Conditional,Deut.,,,,,,,,
Prot.,,,,,,,,,
,,,,,,,,,
Present subjunctive,Deut.,,,,,,,,
Prot.,,,·ruca,,,,,·ructar,
,,,,,,,,,
Past subjunctive,Deut.,,,,,,,,
Prot.,·ruccainn,,,,,,·ructhae,·ructais,
,,,,,,,,,
Imperative,,uic,,,,,,,
,,,,,,,,,
Verbal noun,,,,,,,,,
Past participle,,,,,,,,,
Verbal of necessity,,,,,,,,,
Note: only forms actually attested in Old Irish are listed here.,,,,,,,,,
Old Irish mutation,,,,,,,,,
Radical,Lenition,Nasalization,,,,,,,
beirid,beiridpronounced with /v(ʲ)-/,mbeirid,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,
