0,1,2,3,4,5,6
infinitive,ganga,,,,,
present participle,gangandi,,,,,
past participle,genginn,,,,,
indicative,present,past,,,,
1st-person singular,geng,gekk,,,,
2nd-person singular,gengr,gekkst,,,,
3rd-person singular,gengr,gekk,,,,
1st-person plural,gǫngum,gengum,,,,
2nd-person plural,gangið,genguð,,,,
3rd-person plural,ganga,gengu,,,,
subjunctive,present,past,,,,
1st-person singular,ganga,genga,,,,
2nd-person singular,gangir,gengir,,,,
3rd-person singular,gangi,gengi,,,,
1st-person plural,gangim,gengim,,,,
2nd-person plural,gangið,gengið,,,,
3rd-person plural,gangi,gengi,,,,
imperative,present,,,,,
2nd-person singular,gang,,,,,
1st-person plural,gǫngum,,,,,
2nd-person plural,gangið,,,,,
infinitive,gangask,,,,,
present participle,gangandisk,,,,,
past participle,gengizk,,,,,
indicative,present,past,,,,
1st-person singular,gengumk,gengumk,,,,
2nd-person singular,gengsk,gekkzk,,,,
3rd-person singular,gengsk,gekksk,,,,
1st-person plural,gǫngumsk,gengumsk,,,,
2nd-person plural,gangizk,genguzk,,,,
3rd-person plural,gangask,gengusk,,,,
subjunctive,present,past,,,,
1st-person singular,gǫngumk,gengumk,,,,
2nd-person singular,gangisk,gengisk,,,,
3rd-person singular,gangisk,gengisk,,,,
1st-person plural,gangimsk,gengimsk,,,,
2nd-person plural,gangizk,gengizk,,,,
3rd-person plural,gangisk,gengisk,,,,
imperative,present,,,,,
2nd-person singular,gangsk,,,,,
1st-person plural,gǫngumsk,,,,,
2nd-person plural,gangizk,,,,,
ganga af  ganga aptr  ganga at  ganga á  ganga eptir  ganga frá,,ganga fram  ganga fyrir  ganga í  ganga með  ganga milli  ganga móti,,ganga nær  ganga saman  ganga sundr  ganga til  ganga um  ganga undan,,ganga undir  ganga upp  ganga við  ganga yfir
Faroese: ganga  Icelandic: ganga,,Swedish: (archaic) gånga (Old Swedish ganga),,,,
