0,1,2
infinitive,bera,
present participle,berandi,
past participle,borinn,
indicative,present,past
1st-person singular,ber,bar
2nd-person singular,berr,bart
3rd-person singular,berr,bar
1st-person plural,berum,bárum
2nd-person plural,berið,báruð
3rd-person plural,bera,báru
subjunctive,present,past
1st-person singular,bera,bæra
2nd-person singular,berir,bærir
3rd-person singular,beri,bæri
1st-person plural,berim,bærim
2nd-person plural,berið,bærið
3rd-person plural,beri,bæri
imperative,present,
2nd-person singular,ber,
1st-person plural,berum,
2nd-person plural,berið,
infinitive,berask,
present participle,berandisk,
past participle,borizk,
indicative,present,past
1st-person singular,berumk,bárumk
2nd-person singular,bersk,barzk
3rd-person singular,bersk,barsk
1st-person plural,berumsk,bárumsk
2nd-person plural,berizk,báruzk
3rd-person plural,berask,bárusk
subjunctive,present,past
1st-person singular,berumk,bærumk
2nd-person singular,berisk,bærisk
3rd-person singular,berisk,bærisk
1st-person plural,berimsk,bærimsk
2nd-person plural,berizk,bærizk
3rd-person plural,berisk,bærisk
imperative,present,
2nd-person singular,bersk,
1st-person plural,berumsk,
2nd-person plural,berizk,
