0,1,2,3,4,5,6
,,,,,,
Strong declension,,,,,,
gender,masculine,neuter,feminine,,,
case,singular,plural,singular,plural,singular,plural
nominative,ethili,ethilie,ethili,ethilie,ethili,ethiliu
accusative,ethiliana,ethilie,ethili,ethilie,ethilia,ethiliu
genitive,ethilies,ethiliarō,ethilies,ethiliarō,ethiliaro,ethiliarō
dative,ethiliumu,ethilium,ethiliumu,ethilium,ethiliaro,ethilium
,,,,,,
Weak declension,,,,,,
gender,masculine,neuter,feminine,,,
case,singular,plural,singular,plural,singular,plural
nominative,ethilio,ethiliu,ethilia,ethiliu,ethilia,ethiliu
accusative,ethiliun,ethiliun,ethilia,ethiliun,ethiliun,ethiliun
genitive,ethiliun,ethilionō,ethiliun,ethilionō,ethiliun,ethilionō
dative,ethiliun,ethilium,ethiliun,ethilium,ethiliun,ethilium
,,,,,,
gender,masculine,neuter,feminine,,,
case,singular,plural,singular,plural,singular,plural
nominative,ethiliro,ethiliru,ethilira,ethiliru,ethilira,ethiliru
accusative,ethilirun,ethilirun,ethilira,ethilirun,ethilirun,ethilirun
genitive,ethilirun,ethilironō,ethilirun,ethilironō,ethilirun,ethilironō
dative,ethilirun,ethilirum,ethilirun,ethilirum,ethilirun,ethilirum
,,,,,,
Strong declension,,,,,,
gender,masculine,neuter,feminine,,,
case,singular,plural,singular,plural,singular,plural
nominative,ethilist,ethiliste,ethilist,ethiliste,ethilist,ethilistu
accusative,ethilistana,ethiliste,ethilist,ethiliste,ethilista,ethilistu
genitive,ethilistes,ethilistarō,ethilistes,ethilistarō,ethilistaro,ethilistarō
dative,ethilistumu,ethilistum,ethilistumu,ethilistum,ethilistaro,ethilistum
,,,,,,
Weak declension,,,,,,
gender,masculine,neuter,feminine,,,
case,singular,plural,singular,plural,singular,plural
nominative,ethilisto,ethilistu,ethilista,ethilistu,ethilista,ethilistu
accusative,ethilistun,ethilistun,ethilista,ethilistun,ethilistun,ethilistun
genitive,ethilistun,ethilistonō,ethilistun,ethilistonō,ethilistun,ethilistonō
dative,ethilistun,ethilistum,ethilistun,ethilistum,ethilistun,ethilistum
,,,,,,
,Singular,Plural,,,,
nominative,ethili,ethilios,,,,
accusative,ethili,ethilios,,,,
genitive,ethilies,ethiliō,,,,
dative,ethilie,ethilium,,,,
instrumental,—,—,,,,
