0,1,2,3,4,5,6
,,,,,,
Strong declension,,,,,,
gender,masculine,neuter,feminine,,,
case,singular,plural,singular,plural,singular,plural
nominative,gialdrod,gialdrode,gialdrod,gialdrode,gialdrod,gialdrodu
accusative,gialdrodana,gialdrode,gialdrod,gialdrode,gialdroda,gialdrodu
genitive,gialdrodes,gialdrodarō,gialdrodes,gialdrodarō,gialdrodaro,gialdrodarō
dative,gialdrodumu,gialdrodum,gialdrodumu,gialdrodum,gialdrodaro,gialdrodum
,,,,,,
Weak declension,,,,,,
gender,masculine,neuter,feminine,,,
case,singular,plural,singular,plural,singular,plural
nominative,gialdrodo,gialdrodu,gialdroda,gialdrodu,gialdroda,gialdrodu
accusative,gialdrodun,gialdrodun,gialdroda,gialdrodun,gialdrodun,gialdrodun
genitive,gialdrodun,gialdrodonō,gialdrodun,gialdrodonō,gialdrodun,gialdrodonō
dative,gialdrodun,gialdrodum,gialdrodun,gialdrodum,gialdrodun,gialdrodum
,,,,,,
gender,masculine,neuter,feminine,,,
case,singular,plural,singular,plural,singular,plural
nominative,gialdrodoro,gialdrodoru,gialdrodora,gialdrodoru,gialdrodora,gialdrodoru
accusative,gialdrodorun,gialdrodorun,gialdrodora,gialdrodorun,gialdrodorun,gialdrodorun
genitive,gialdrodorun,gialdrodoronō,gialdrodorun,gialdrodoronō,gialdrodorun,gialdrodoronō
dative,gialdrodorun,gialdrodorum,gialdrodorun,gialdrodorum,gialdrodorun,gialdrodorum
,,,,,,
Strong declension,,,,,,
gender,masculine,neuter,feminine,,,
case,singular,plural,singular,plural,singular,plural
nominative,gialdrodost,gialdrodoste,gialdrodost,gialdrodoste,gialdrodost,gialdrodostu
accusative,gialdrodostana,gialdrodoste,gialdrodost,gialdrodoste,gialdrodosta,gialdrodostu
genitive,gialdrodostes,gialdrodostarō,gialdrodostes,gialdrodostarō,gialdrodostaro,gialdrodostarō
dative,gialdrodostumu,gialdrodostum,gialdrodostumu,gialdrodostum,gialdrodostaro,gialdrodostum
,,,,,,
Weak declension,,,,,,
gender,masculine,neuter,feminine,,,
case,singular,plural,singular,plural,singular,plural
nominative,gialdrodosto,gialdrodostu,gialdrodosta,gialdrodostu,gialdrodosta,gialdrodostu
accusative,gialdrodostun,gialdrodostun,gialdrodosta,gialdrodostun,gialdrodostun,gialdrodostun
genitive,gialdrodostun,gialdrodostonō,gialdrodostun,gialdrodostonō,gialdrodostun,gialdrodostonō
dative,gialdrodostun,gialdrodostum,gialdrodostun,gialdrodostum,gialdrodostun,gialdrodostum
