0,1,2
,,
infinitive,bigehan,
indicative,present,past
1st person singular,bigihu,bigah
2nd person singular,bigihis,biguhi
3rd person singular,bigihid,bigah
plural,bigehad,biguhun
subjunctive,present,past
1st person singular,bigehe,biguhi
2nd person singular,bigehes,biguhis
3rd person singular,bigehe,biguhi
plural,bigehen,biguhin
imperative,present,
singular,bigeh,
plural,bigehad,
participle,present,past
,bigihandi,bigohan
,,
infinitive,bigehan,
indicative,present,past
1st person singular,bigihu,bigah
2nd person singular,bigihis,bigāhi
3rd person singular,bigihid,bigah
plural,bigehad,bigāhun
subjunctive,present,past
1st person singular,bigehe,bigāhi
2nd person singular,bigehes,bigāhis
3rd person singular,bigehe,bigāhi
plural,bigehen,bigāhin
imperative,present,
singular,bigeh,
plural,bigehad,
participle,present,past
,bigihandi,bigehan
