0,1,2,3,4
,masculine,,feminine,
,singular,plural,singular,plural
direct,ګلابي(gwëlâbi),ګلابي(gwëlâbi),ګلابي(gwëlâbi),ګلابي(gwëlâbi)
oblique,ګلابي(gwëlâbi),ګلابي(gwëlâbi),ګلابي(gwëlâbi),ګلابي (gwëlâbi)
vocative,ګلابي(gwëlâbi),ګلابي(gwëlâbi),ګلابي(gwëlâbi),ګلابي(gwëlâbi)
Colors in Pashto · رنګونه ‎(ranguna) (layout · text),,,,
سور ‎(sur),شين ‎(šin),ژېړ ‎(žeṛ),?,سپين ‎(spin)
?,?,?,?,ګلابي ‎(gwëlâbi)
نيلي ‎(nili),شين ‎(shin),نارنجي ‎(nâranji),خړ ‎(xëṛ),چوڼيا ‎(čuṇyâ)
تور ‎(tor),?,نسواري ‎(naswâri),?,?
