0,1,2,3,4,5,6,7,8,9,10
,singular,,plural,,,,,,,
,1st person,2nd person,3rd person m,3rd person f,1st person,2nd person,3rd person m,3rd person f,,
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,,,
present imperfective,غوږ نيسم (ǧwag nisëm),غوږ نيسې (ǧwag nise),غوږ نيسي (ǧwag nisi),غوږ نيسو (ǧwag nisu),غوږ نيسﺉ (ǧwag nisëy),غوږ نيسي (ǧwag nisi),,,,
,,,,,,,,,,
present perfective,وغوږ نيسم (wë ǧwag nisëm),وغوږ نيسې (wë ǧwag nise),وغوږ نيسي (wë ǧwag nisi),وغوږ نيسو (wë ǧwag nisu),وغوږ نيسﺉ (wë ǧwag nisëy),وغوږ نيسي (wë ǧwag nisi),,,,
,,,,,,,,,,
past imperfective,غوږ نيولم (ǧwag niwëlëm),غوږ نيولې (ǧwag niwële),غوږ نيوۀ (ǧwag niwë),غوږ نيوله (ǧwag niwëla),غوږ نيولو (ǧwag niwëlu),غوږ نيولﺉ (ǧwag niwëlëy),غوږ نيول / غوږ نيولۀ (ǧwag niwël / ǧwag niwëlë),غوږ نيولې (ǧwag niwële),,
,,,,,,,,,,
past perfective,وغوږ نيولم (wë ǧwag niwëlëm),وغوږ نيولې (wë ǧwag niwële),وغوږ نيوۀ (wë ǧwag niwë),وغوږ نيوله (wë ǧwag niwëla),وغوږ نيولو (wë ǧwag niwëlu),وغوږ نيولﺉ (wë ǧwag niwëlëy),وغوږ نيولۀ / وغوږ نيول (wë ǧwag niwël / wëǧwag niwëlë),وغوږ نيولې (wë ǧwag niwële),,
,singular,,plural,,,,,,,
,1st person,2nd person,3rd person m,3rd person f,1st person,2nd person,3rd person m,3rd person f,,
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,,,
present imperfective,غوږ نيسم (ǧwag nisëm),غوږ نيسې (ǧwag nise),غوږ نيسي (ǧwag nisi),غوږ نيسو (ǧwag nisu),غوږ نيسﺉ (ǧwag nisëy),غوږ نيسي (ǧwag nisi),,,,
,,,,,,,,,,
present perfective,وغوږ نيسم (wë ǧwag nisëm),وغوږ نيسې (wë ǧwag nise),وغوږ نيسي (wë ǧwag nisi),وغوږ نيسو (wë ǧwag nisu),وغوږ نيسﺉ (wë ǧwag nisëy),وغوږ نيسي (wë ǧwag nisi),,,,
,,,,,,,,,,
past imperfective,غوږ نيوم (ǧwag niwëm),غوږ نيوې (ǧwag niwe),غوږ نيوۀ (ǧwag niwë),غوږ نيوه (ǧwag niwa),غوږ نيوو (ǧwag niwu),غوږ نيوﺉ (ǧwag niwëy),غوږ نيول / غوږ نيولۀ (ǧwag niwël / ǧwag niwëlë),غوږ نيوې (ǧwag niwe),,
,,,,,,,,,,
past perfective,وغوږ نيوم (wë ǧwag niwëm),وغوږ نيوې (wë ǧwag niwe),وغوږ نيوۀ (wë ǧwag niwë),وغوږ نيوه (wë ǧwag niwa),وغوږ نيوو (wë ǧwag niwu),وغوږ نيوﺉ (wë ǧwag niwëy),وغوږ نيولۀ / وغوږ نيول (wë ǧwag niwël / wëǧwag niwëlë),وغوږ نيوې (wë ǧwag niwe),,
,singular,,plural,,,,,,,
,1st person m,1st person f,2nd person m,2nd person f,3rd person m,3rd person f,1st person,2nd person,3rd person,3rd person f
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,,,
present perfect,غوږ نيولی يم (ǧwag niwëlay yëm),غوږ نيولې يم (ǧwag niwële yëm/yëma),غوږ نيولی يې (ǧwag niwëlay ye),غوږ نيولې يې (ǧwag niwële ye),غوږ نيولی دی (ǧwag niwëlay day),غوږ نيولې ده (ǧwag niwële da),غوږ نيولي يو (ǧwag niwëli yu),غوږ نيولي يئ/ياست (ǧwag niwëli yai/yâst),غوږ نيولي دي (ǧwag niwëli di),
,,,,,,,,,,
past perfect,غوږ نيولی وم (ǧwag niwëlay wëm),غوږ نيولې وم/ومه (ǧwag niwële wëm/wëma),غوږ نيولی وې (ǧwag niwëlay we),غوږ نيولې وې (ǧwag niwële we),غوږ نيولی و (ǧwag niwëlay wë),غوږ نيولې وه (ǧwag niwële wa),غوږ نيولي وو (ǧwag niwëli wu),غوږ نيولي وئ (ǧwag niwëli wai),غوږ نيولي وو\ول (ǧwag niwëli wu/wël),غوږ نيولې وې (ǧwag niwële we)
,,,,,,,,,,
future perfect,به غوږ نيولی يم (bë ǧwag niwëlay yëm),به غوږ نيولې يم (bë ǧwag niwële yëm/yëma),به غوږ نيولی يې (bë ǧwag niwëlay ye),به غوږ نيولې يې bë (ǧwag niwële ye),به غوږ نيولی دی (bë ǧwag niwëlay day),به غوږ نيولې ده (bë ǧwag niwële da),به غوږ نيولي يو (bë ǧwag niwëli yu),به غوږ نيولي يئ/ياست (bë ǧwag niwëli yai/yâst),به غوږ نيولي دي (bë ǧwag niwëli di),
