0,1,2,3
یادم رفتن (yấdam raftán),infinitive,,
indicative,,,
یادم رفت (yấdam raft),past,یادم رود (yấdam rávad),aorist
,,,
یادم می‌رفت (yấdam mí-raft),past (imperfect),یادم می‌رود (yấdam mí-ravad),present (imperfect)
,,,
داشت یادم می‌رفت (dấšt yấdam mí-raft),past progressive,دارد یادم می‌رود (dấrad yấdam mí-ravad),present progressive
,,,
یادم رفته است (yấdam rafté ast),present perfect,یادم رفته بود (yấdam rafté búd),pluperfect
,,,
,یادم خواهد رفت (yấdam xâhád raft),future,
subjunctive,,,
یادم رفته باشد (yấdam rafté bấšad),past,یادم برود (yấdam béravad),present
یادم رفتن (yấdam raftán),infinitive,,
indicative,,,
یادم رفت (yấdam raft),past,یادم ره (yấdam re),aorist
,,,
یادم می‌رفت (yấdam mí-raft),past (imperfect),یادم می‌ره (yấdam mí-re),present (imperfect)
,,,
داشت یادم می‌رفت (dấšt yấdam mí-raft),past progressive,داره یادم می‌ره (dấre yấdam mí-re),present progressive
,,,
یادم رفته (yấdam rafté),present perfect,یادم رفته بود (yấdam rafté búd),pluperfect
subjunctive,,,
یادم رفته باشه (yấdam rafté bấše),past,یادم بره (yấdam bére),present
یادت رفتن (yấdat raftán),infinitive,,
indicative,,,
یادت رفت (yấdat raft),past,یادت رود (yấdat rávad),aorist
,,,
یادت می‌رفت (yấdat mí-raft),past (imperfect),یادت می‌رود (yấdat mí-ravad),present (imperfect)
,,,
داشت یادت می‌رفت (dấšt yấdat mí-raft),past progressive,دارد یادت می‌رود (dấrad yấdat mí-ravad),present progressive
,,,
یادت رفته است (yấdat rafté ast),present perfect,یادت رفته بود (yấdat rafté búd),pluperfect
,,,
,یادت خواهد رفت (yấdat xâhád raft),future,
subjunctive,,,
یادت رفته باشد (yấdat rafté bấšad),past,یادت برود (yấdat béravad),present
یادت رفتن (yấdet raftán),infinitive,,
indicative,,,
یادت رفت (yấdet raft),past,یادت ره (yấdet re),aorist
,,,
یادت می‌رفت (yấdet mí-raft),past (imperfect),یادت می‌ره (yấdet mí-re),present (imperfect)
,,,
داشت یادت می‌رفت (dấšt yấdet mí-raft),past progressive,داره یادت می‌ره (dấre yấdet mí-re),present progressive
,,,
یادت رفته (yấdet rafté),present perfect,یادت رفته بود (yấdet rafté búd),pluperfect
subjunctive,,,
یادت رفته باشه (yấdet rafté bấše),past,یادت بره (yấdet bére),present
یادش رفتن (yấdaš raftán),infinitive,,
indicative,,,
یادش رفت (yấdaš raft),past,یادش رود (yấdaš rávad),aorist
,,,
یادش می‌رفت (yấdaš mí-raft),past (imperfect),یادش می‌رود (yấdaš mí-ravad),present (imperfect)
,,,
داشت یادش می‌رفت (dấšt yấdaš mí-raft),past progressive,دارد یادش می‌رود (dấrad yấdaš mí-ravad),present progressive
,,,
یادش رفته است (yấdaš rafté ast),present perfect,یادش رفته بود (yấdaš rafté búd),pluperfect
,,,
,یادش خواهد رفت (yấdaš xâhád raft),future,
subjunctive,,,
یادش رفته باشد (yấdaš rafté bấšad),past,یادش برود (yấdaš béravad),present
یادش رفتن (yấdeš raftán),infinitive,,
indicative,,,
یادش رفت (yấdeš raft),past,یادش ره (yấdeš re),aorist
,,,
یادش می‌رفت (yấdeš mí-raft),past (imperfect),یادش می‌ره (yấdeš mí-re),present (imperfect)
,,,
داشت یادش می‌رفت (dấšt yấdeš mí-raft),past progressive,داره یادش می‌ره (dấre yấdeš mí-re),present progressive
,,,
یادش رفته (yấdeš rafté),present perfect,یادش رفته بود (yấdeš rafté búd),pluperfect
subjunctive,,,
یادش رفته باشه (yấdeš rafté bấše),past,یادش بره (yấdeš bére),present
یادمان رفتن (yấdemân raftán),infinitive,,
indicative,,,
یادمان رفت (yấdemân raft),past,یادمان رود (yấdemân rávad),aorist
,,,
یادمان می‌رفت (yấdemân mí-raft),past (imperfect),یادمان می‌رود (yấdemân mí-ravad),present (imperfect)
,,,
داشت یادمان می‌رفت (dấšt yấdemân mí-raft),past progressive,دارد یادمان می‌رود (dấrad yấdemân mí-ravad),present progressive
,,,
یادمان رفته است (yấdemân rafté ast),present perfect,یادمان رفته بود (yấdemân rafté búd),pluperfect
,,,
,یادمان خواهد رفت (yấdemân xâhád raft),future,
subjunctive,,,
یادمان رفته باشد (yấdemân rafté bấšad),past,یادمان برود (yấdemân béravad),present
یادمون رفتن (yấdemun raftán),infinitive,,
indicative,,,
یادمون رفت (yấdemun raft),past,یادمون ره (yấdemun re),aorist
,,,
یادمون می‌رفت (yấdemun mí-raft),past (imperfect),یادمون می‌ره (yấdemun mí-re),present (imperfect)
,,,
داشت یادمون می‌رفت (dấšt yấdemun mí-raft),past progressive,داره یادمون می‌ره (dấre yấdemun mí-re),present progressive
,,,
یادمون رفته (yấdemun rafté),present perfect,یادمون رفته بود (yấdemun rafté búd),pluperfect
subjunctive,,,
یادمون رفته باشه (yấdemun rafté bấše),past,یادمون بره (yấdemun bére),present
یادتان رفتن (yấdetân raftán),infinitive,,
indicative,,,
یادتان رفت (yấdetân raft),past,یادتان رود (yấdetân rávad),aorist
,,,
یادتان می‌رفت (yấdetân mí-raft),past (imperfect),یادتان می‌رود (yấdetân mí-ravad),present (imperfect)
,,,
داشت یادتان می‌رفت (dấšt yấdetân mí-raft),past progressive,دارد یادتان می‌رود (dấrad yấdetân mí-ravad),present progressive
,,,
یادتان رفته است (yấdetân rafté ast),present perfect,یادتان رفته بود (yấdetân rafté búd),pluperfect
,,,
,یادتان خواهد رفت (yấdetân xâhád raft),future,
subjunctive,,,
یادتان رفته باشد (yấdetân rafté bấšad),past,یادتان برود (yấdetân béravad),present
یادتون رفتن (yấdetun raftán),infinitive,,
indicative,,,
یادتون رفت (yấdetun raft),past,یادتون ره (yấdetun re),aorist
,,,
