0,1,2,3,4,5,6
PIE root,,,,,,
*gʷʰen-,,,,,,
Audio,,(file),,,,
,,singular,plural,,,
person,m,f,n,m pers,"m anim, m inan, f, n",
infinitive,gonić,,,,,
present tense,1st,gonię,gonimy,,,
2nd,gonisz,gonicie,,,,
3rd,goni,gonią,,,,
past tense,1st,goniłem,goniłam,,goniliśmy,goniłyśmy
2nd,goniłeś,goniłaś,,goniliście,goniłyście,
3rd,gonił,goniła,goniło,gonili,goniły,
future tense,1st,będę gonił1,będę goniła1,,będziemy gonili1,będziemy goniły1
2nd,będziesz gonił1,będziesz goniła1,,będziecie gonili1,będziecie goniły1,
3rd,będzie gonił1,będzie goniła1,będzie goniło1,będą gonili1,będą goniły1,
conditional,1st,goniłbym,goniłabym,,gonilibyśmy,goniłybyśmy
2nd,goniłbyś,goniłabyś,,gonilibyście,goniłybyście,
3rd,goniłby,goniłaby,goniłoby,goniliby,goniłyby,
imperative,1st,—,gońmy,,,
2nd,goń,gońcie,,,,
3rd,niech goni,niech gonią,,,,
active adjectival participle,goniący,goniąca,goniące,goniący,goniące,
contemporary adverbial participle,goniąc,,,,,
impersonal past,goniono,,,,,
verbal noun,gonienie,,,,,
"1 or: będę gonić, będziesz gonić etc.",,,,,,
