0,1,2,3,4,5,6,7
,singular,plural,,,,,
,indefinite articulation,definite articulation,indefinite articulation,definite articulation,,,
nominative/accusative,(un) monegasc,monegascul,(niște) monegasci,monegascii,,,
genitive/dative,(unui) monegasc,monegascului,(unor) monegasci,monegascilor,,,
vocative,monegascule,monegascilor,,,,,
,singular,plural,,,,,
,indefinite articulation,definite articulation,indefinite articulation,definite articulation,,,
nominative/accusative,(un) monegasc,monegascul,(niște) monegaști,monegaștii,,,
genitive/dative,(unui) monegasc,monegascului,(unor) monegaști,monegaștilor,,,
vocative,monegascule,monegaștilor,,,,,
,singular,plural,,,,,
,,masculine,neuter,feminine,masculine,neuter,feminine
nominative/ accusative,indefinite,monegasc,monegască,monegasci,monegasce,,
definite,monegascul,monegasca,monegascii,monegascele,,,
genitive/ dative,indefinite,monegasc,monegasce,monegasci,monegasce,,
definite,monegascului,monegascei,monegascilor,monegascelor,,,
,singular,plural,,,,,
,,masculine,neuter,feminine,masculine,neuter,feminine
nominative/ accusative,indefinite,monegasc,monegască,monegaști,monegaste,,
definite,monegascul,monegasca,monegaștii,monegastele,,,
genitive/ dative,indefinite,monegasc,monegaste,monegaști,monegaste,,
definite,monegascului,monegastei,monegaștilor,monegastelor,,,
