0,1,2,3,4,5,6,7
gender n,uncountable,,,,,,
Nominative/Accusative (Unarticulated),aalenian,,,,,,
Nominative/Accusative (Definite articulation),aalenianul,,,,,,
Genitive/Dative (Definite articulation),aalenianului,,,,,,
,singular,plural,,,,,
,,masculine,neuter,feminine,masculine,neuter,feminine
nominative/ accusative,indefinite,aalenian,aaleniană,aaleniani,aaleniane,,
definite,aalenianul,aaleniana,aalenianii,aalenianele,,,
genitive/ dative,indefinite,aalenian,aaleniane,aaleniani,aaleniane,,
definite,aalenianului,aalenianei,aalenianilor,aalenianelor,,,
