0,1,2,3,4
Nominative,,,,
eu,,,,
Accusative,,,,
stressed,unstressed,,,
mine,mă,,,
Genitive,,,,
Singular,Plural,,,
m & n,f,m,f & n,
meu,mea,mei,mele,
Dative,,,,
stressed,unstressed,,,
mie,îmi,,,
Reflexive,,,,
Accusative,Dative,,,
stressed,unstressed,stressed,unstressed,
mine,mă,mie,îmi,
,singular,plural,,
1st person,eu,noi,,
2nd person,plain,tu,voi,
semi-polite,dumneata,dumneavoastră,,
polite,dumneavoastră,,,
3rd person familiar,m,el,ei,
f,ea,ele,,
3rd person polite,m,dumnealui,dumnealor,
f,dumneaei,,,
,singular,plural,,
,indefinite articulation,definite articulation,indefinite articulation,definite articulation
nominative/accusative,(un) eu,eul,(niște) euri,eurile
genitive/dative,(unui) eu,eului,(unor) euri,eurilor
vocative,eule,eurilor,,
