0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
conjugation type iv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-personal moods present infinitive а фи past infinitive а фи фост gerund финд past participle фост personal moods singular plural 1st person 2nd person 3rd person 1st person 2nd person 3rd person еу ту ел/я нои вои еи/еле present сынт ешть есте сынтем сынтець сынт perfect фусеи (фуи) фусешь (фушь) фусе (фу) фусерэм (фурэм) фусерэць (фурэць) фусерэ (фурэ) imperfect ерам ераи ера ерам ераць ерау pluperfect фусесем фусесешь фусесе фусесерэм фусесерэць фусесерэ compound perfect ам фост аи фост а фост ам фост аţi фост аu фост subjunctive present сэ фиу сэ фи сэ фие сэ фим сэ фиць сэ фие past сэ фи фост сэ фи фост сэ фи фост сэ фи фост сэ фи фост сэ фи фост imperative present фи фиць,present infinitive,а фи,past infinitive,а фи фост,gerund,финд,past participle,фост,singular,plural,,1st person,2nd person,3rd person,1st person,2nd person,3rd person,,еу,ту,ел/я,нои,вои,еи/еле,present,сынт,ешть,есте,сынтем,сынтець,сынт,perfect,фусеи (фуи),фусешь (фушь),фусе (фу),фусерэм (фурэм),фусерэць (фурэць),фусерэ (фурэ),imperfect,ерам,ераи,ера,ерам,ераць,ерау,pluperfect,фусесем,фусесешь,фусесе,фусесерэм,фусесерэць,фусесерэ,compound perfect,ам фост,аи фост,а фост,ам фост,аţi фост,аu фост,subjunctive,present,сэ фиу,сэ фи,сэ фие,сэ фим,сэ фиць,сэ фие,past,сэ фи фост,сэ фи фост,сэ фи фост,сэ фи фост,сэ фи фост,сэ фи фост,imperative,present,фи,фиць
present infinitive,а фи,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
past infinitive,а фи фост,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gerund,финд,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
past participle,фост,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
singular,plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1st person,2nd person,3rd person,1st person,2nd person,3rd person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,еу,ту,ел/я,нои,вои,еи/еле,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
present,сынт,ешть,есте,сынтем,сынтець,сынт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perfect,фусеи (фуи),фусешь (фушь),фусе (фу),фусерэм (фурэм),фусерэць (фурэць),фусерэ (фурэ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
