0,1,2,3,4,5
,masculine,neuter,feminine,plural,
nominative,янта́рныйjantárnyj,янта́рноеjantárnoje,янта́рнаяjantárnaja,янта́рныеjantárnyje,
genitive,янта́рногоjantárnovo,янта́рнойjantárnoj,янта́рныхjantárnyx,,
dative,янта́рномуjantárnomu,янта́рнойjantárnoj,янта́рнымjantárnym,,
accusative,animate,янта́рногоjantárnovo,янта́рноеjantárnoje,янта́рнуюjantárnuju,янта́рныхjantárnyx
inanimate,янта́рныйjantárnyj,янта́рныеjantárnyje,,,
instrumental,янта́рнымjantárnym,"янта́рной, янта́рноюjantárnoj, jantárnoju",янта́рнымиjantárnymi,,
prepositional,янта́рномjantárnom,янта́рнойjantárnoj,янта́рныхjantárnyx,,
,,,,,
short form,янта́ренjantáren,янта́рноjantárno,янта́рнаjantárna,янта́рныjantárny,
