0,1,2,3,4,5
,masculine,neuter,feminine,plural,
nominative,ра́неныйránenyj,ра́неноеránenoje,ра́ненаяránenaja,ра́неныеránenyje,
genitive,ра́неногоránenovo,ра́ненойránenoj,ра́неныхránenyx,,
dative,ра́неномуránenomu,ра́ненойránenoj,ра́ненымránenym,,
accusative,animate,ра́неногоránenovo,ра́неноеránenoje,ра́ненуюránenuju,ра́неныхránenyx
inanimate,ра́неныйránenyj,ра́неныеránenyje,,,
instrumental,ра́ненымránenym,"ра́неной, ра́неноюránenoj, ránenoju",ра́ненымиránenymi,,
prepositional,ра́неномránenom,ра́ненойránenoj,ра́неныхránenyx,,
,,,,,
short form,ра́ненránen,ра́неноráneno,ра́ненаránena,ра́неныráneny,
,masculine,neuter,feminine,m. plural,n./f. plural
nominative,ра́неныйránenyj,ра́неноеránenoje,ра́ненаяránenaja,ра́неныеránenyje,ра́неныяránenyja
genitive,ра́ненагоránenavo,ра́ненойránenoj,ра́неныхъránenyx,,
dative,ра́неномуránenomu,ра́ненойránenoj,ра́ненымъránenym,,
accusative,animate,ра́ненагоránenavo,ра́неноеránenoje,ра́ненуюránenuju,ра́неныхъránenyx
inanimate,ра́неныйránenyj,ра́неныеránenyje,ра́неныяránenyja,,
instrumental,ра́ненымъránenym,"ра́неной, ра́неноюránenoj, ránenoju",ра́ненымиránenymi,,
prepositional,ра́неномъránenom,ра́ненойránenoj,ра́неныхъránenyx,,
,,,,,
short form,ра́ненъránen,ра́неноráneno,ра́ненаránena,ра́неныráneny,
,singular,plural,,,
nominative,ра́неныйránenyj,ра́неныеránenyje,,,
genitive,ра́неногоránenovo,ра́неныхránenyx,,,
dative,ра́неномуránenomu,ра́ненымránenym,,,
accusative,ра́неногоránenovo,ра́неныхránenyx,,,
instrumental,ра́ненымránenym,ра́ненымиránenymi,,,
prepositional,ра́неномránenom,ра́неныхránenyx,,,
