0,1,2,3,4,5,6,7,8,9,10
imperfective aspect,,,,,,,,,,
infinitive,восславля́тьvosslavljátʹ,,,,,,,,,
participles,present tense,past tense,,,,,,,,
active,восславля́ющийvosslavljájuščij,восславля́вшийvosslavljávšij,,,,,,,,
passive,восславля́емыйvosslavljájemyj,—,,,,,,,,
adverbial,восславля́яvosslavljája,"восславля́вvosslavljáv,восславля́вшиvosslavljávši",,,,,,,,
,present tense,future tense,,,,,,,,
1st singular (я),восславля́юvosslavljáju,бу́ду восславля́тьbúdu vosslavljátʹ,,,,,,,,
2nd singular (ты),восславля́ешьvosslavljáješʹ,бу́дешь восславля́тьbúdešʹ vosslavljátʹ,,,,,,,,
3rd singular (он/она́/оно́),восславля́етvosslavljájet,бу́дет восславля́тьbúdet vosslavljátʹ,,,,,,,,
1st plural (мы),восславля́емvosslavljájem,бу́дем восславля́тьbúdem vosslavljátʹ,,,,,,,,
2nd plural (вы),восславля́етеvosslavljájete,бу́дете восславля́тьbúdete vosslavljátʹ,,,,,,,,
3rd plural (они́),восславля́ютvosslavljájut,бу́дут восславля́тьbúdut vosslavljátʹ,,,,,,,,
imperative,singular,plural,,,,,,,,
,восславля́йvosslavljáj,восславля́йтеvosslavljájte,,,,,,,,
past tense,singular,plural(мы/вы/они́),,,,,,,,
masculine (я/ты/он),восславля́лvosslavljál,восславля́лиvosslavljáli,,,,,,,,
feminine (я/ты/она́),восславля́лаvosslavljála,,,,,,,,,
neuter (оно́),восславля́лоvosslavljálo,,,,,,,,,
complete government (order is not obligatory and may be changed freely),,,,,,,,,,
nominative,,verb(in req. form),,accusative(transitive),,accusative(intransitive),,dative,,instrumental
кто-л./что-л.,+,восславлять,+,кого-л./что-л.,+,preposition + кого-л./что-л.,+,кому-л./чему-л.,+,кем-л./чем-л.
case,government,in English,,,,,,,,
nominative,"кто-л./что-л. + восславлять (in required form, not the infinitive)","smb/smth. + to praise (or other translation, in corresponding form)",,,,,,,,
он восславля́ет (Бога),he praises (God) (or he is praising (God)),,,,,,,,,
genitive,not used,,,,,,,,,
dative,восславлять + кому-л./чему-л.,to praise + smb./smth.,,,,,,,,
(он) восславляет (Бога) людям,(he) praises (God) to people,,,,,,,,,
accusative(transitive),восславлять + кого-л./что-л.,to praise + smb./smth.,,,,,,,,
(он) восславляет Бога,(he) praises God,,,,,,,,,
accusative(intransitive),восславлять + preposition + кого-л./что-л.,to praise + preposition + smb./smth.,,,,,,,,
(он) восславляет (Бога) за (Его) любовь (к нам),(he) praises (God) for (His) love (for/of us),,,,,,,,,
instrumental,восславлять + кем-л./чем-л.,to praise with smb./smth.,,,,,,,,
(он) восславляет (Бога) песней,(he) praises (God) with song,,,,,,,,,
prepositional,not used,,,,,,,,,
