0,1,2,3,4,5,6,7,8
Masculine ṛ-stem declension of नृ,,,,,,,,
Nom. sg.,ना ‎(nā),,,,,,,
Gen. sg.,नुः ‎(nuḥ) / नरः ‎(naraḥ) ‎(nuḥ ‎(nuḥ) / naraḥ ‎(naraḥ)),,,,,,,
,Singular,Dual,Plural,,,,,
Nominative,ना ‎(nā),नारौ ‎(nārau),नारः ‎(nāraḥ),,,,,
Vocative,नर् ‎(nar),नारौ ‎(nārau),नारः ‎(nāraḥ),,,,,
Accusative,नारम् ‎(nāram),नारौ ‎(nārau),नॄन् ‎(nṝn),,,,,
Instrumental,न्रा ‎(nrā),नृभ्याम् ‎(nṛbhyām),नृभिः ‎(nṛbhiḥ),,,,,
Dative,न्रे ‎(nre) / नरे ‎(nare) ‎(nre ‎(nre) / nare ‎(nare)),नृभ्याम् ‎(nṛbhyām),नृभ्यः ‎(nṛbhyaḥ),,,,,
Ablative,नुः ‎(nuḥ) / नरः ‎(naraḥ) ‎(nuḥ ‎(nuḥ) / naraḥ ‎(naraḥ)),नृभ्याम् ‎(nṛbhyām),नृभ्यः ‎(nṛbhyaḥ),,,,,
Genitive,नुः ‎(nuḥ) / नरः ‎(naraḥ) ‎(nuḥ ‎(nuḥ) / naraḥ ‎(naraḥ)),न्रोः ‎(nroḥ),नॄणाम् ‎(nṝṇām) / नृणाम् ‎(nṛṇām) / नराम् ‎(narām) ‎(nṝṇām ‎(nṝṇām) / nṛṇām ‎(nṛṇām) / narām ‎(narām)),,,,,
Locative,नरि ‎(nari),न्रोः ‎(nroḥ),नृषु ‎(nṛṣu),,,,,
