0,1,2,3,4,5,6
infinitive,cantare,,,,,
gerund,cantende,,,,,
past participle,cantadu,,,,,
person,singular,plural,,,,
first,second,third,first,second,third,
indicative,(d)eo,tue,isse/issa,nois,bois,issos/issas
present,canto,cantas,cantat,cantamus,cantades,cantant
imperfect,cantaia,cantaias,cantaiat,cantaiamus,cantaiades,cantaiant
preterite,cantesi,cantesti,cantesit,cantemus,cantezis,canteint
future,appo a cantare,as a cantare,at a cantare,amus a cantare,azis a cantare,ant a cantare
present perfect,appo cantadu,as cantadu,at cantadu,amus cantadu,azis cantadu,ant cantadu
pluperfect,aia cantadu,aias cantadu,aiat cantadu,aiamus cantadu,aiazis cantadu,aiant cantadu
future perfect,app'aer cantadu,as aer cantadu,at aer cantadu,amus aer cantadu,azis aer cantadu,ant aer cantadu
conditional,(d)eo,tue,isse/issa,nois,bois,issos/issas
present,dio cantare,dias cantare,diat cantare,diamus cantare,diazis cantare,diant cantare
past,dio aer cantadu,dias aer cantadu,diat aer cantadu,diamus aer cantadu,diazis aer cantadu,diant aer cantadu
subjunctive,(d)eo,tu,isse/issa,nois,bois,issos/issas
present,cante,cantes,cantet,cantemus,cantedes,cantent
imperfect,cantere,canteres,canteret,canteremus,canterezes,canterent
present perfect,appe cantadu,appes cantadu,appet cantadu,appemus cantadu,appezis cantadu,appent cantadu
pluperfect,aere cantadu,aeres cantadu,aeret cantadu,aeremus cantadu,aerezes cantadu,aerentcantadu
imperative,–,tu,isse/issa,nois,bois,issos/issas
—,canta,cantet,cantamus,cantade,cantent,
