0,1,2,3,4
singular,masculine,feminine,neuter,
nominative,gnjusai,gnjusaa,gnjusao,
genitive,gnjusaog(a),gnjusae,gnjusaog(a),
dative,gnjusaom(u/e),gnjusaoj,gnjusaom(u/e),
accusative,inanimateanimate,gnjusaignjusaog(a),gnjusau,gnjusao
vocative,gnjusai,gnjusaa,gnjusao,
locative,gnjusaom(e/u),gnjusaoj,gnjusaom(e/u),
instrumental,gnjusaim,gnjusaom,gnjusaim,
plural,masculine,feminine,neuter,
nominative,gnjusai,gnjusae,gnjusaa,
genitive,gnjusaih,gnjusaih,gnjusaih,
dative,gnjusaim(a),gnjusaim(a),gnjusaim(a),
accusative,gnjusae,gnjusae,gnjusaa,
vocative,gnjusai,gnjusae,gnjusaa,
locative,gnjusaim(a),gnjusaim(a),gnjusaim(a),
instrumental,gnjusaim(a),gnjusaim(a),gnjusaim(a),
singular,masculine,feminine,neuter,
nominative,gnjusniji,gnjusnija,gnjusnije,
genitive,gnjusnijeg(a),gnjusnije,gnjusnijeg(a),
dative,gnjusnijem(u),gnjusnijoj,gnjusnijem(u),
accusative,inanimateanimate,gnjusnijignjusnijeg(a),gnjusniju,gnjusnije
vocative,gnjusniji,gnjusnija,gnjusnije,
locative,gnjusnijem(u),gnjusnijoj,gnjusnijem(u),
instrumental,gnjusnijim,gnjusnijom,gnjusnijim,
plural,masculine,feminine,neuter,
nominative,gnjusniji,gnjusnije,gnjusnija,
genitive,gnjusnijih,gnjusnijih,gnjusnijih,
dative,gnjusnijim(a),gnjusnijim(a),gnjusnijim(a),
accusative,gnjusnije,gnjusnije,gnjusnija,
vocative,gnjusniji,gnjusnije,gnjusnija,
locative,gnjusnijim(a),gnjusnijim(a),gnjusnijim(a),
instrumental,gnjusnijim(a),gnjusnijim(a),gnjusnijim(a),
singular,masculine,feminine,neuter,
nominative,najgnjusniji,najgnjusnija,najgnjusnije,
genitive,najgnjusnijeg(a),najgnjusnije,najgnjusnijeg(a),
dative,najgnjusnijem(u),najgnjusnijoj,najgnjusnijem(u),
accusative,inanimateanimate,najgnjusnijinajgnjusnijeg(a),najgnjusniju,najgnjusnije
vocative,najgnjusniji,najgnjusnija,najgnjusnije,
locative,najgnjusnijem(u),najgnjusnijoj,najgnjusnijem(u),
instrumental,najgnjusnijim,najgnjusnijom,najgnjusnijim,
plural,masculine,feminine,neuter,
nominative,najgnjusniji,najgnjusnije,najgnjusnija,
genitive,najgnjusnijih,najgnjusnijih,najgnjusnijih,
dative,najgnjusnijim(a),najgnjusnijim(a),najgnjusnijim(a),
accusative,najgnjusnije,najgnjusnije,najgnjusnija,
vocative,najgnjusniji,najgnjusnije,najgnjusnija,
locative,najgnjusnijim(a),najgnjusnijim(a),najgnjusnijim(a),
instrumental,najgnjusnijim(a),najgnjusnijim(a),najgnjusnijim(a),
