0,1,2,3,4
singular,masculine,feminine,neuter,
nominative,zauzet,zauzeta,zauzeto,
genitive,zauzeta,zauzete,zauzeta,
dative,zauzetu,zauzetoj,zauzetu,
accusative,inanimateanimate,zauzetzauzeta,zauzetu,zauzeto
vocative,zauzet,zauzeta,zauzeto,
locative,zauzetu,zauzetoj,zauzetu,
instrumental,zauzetim,zauzetom,zauzetim,
plural,masculine,feminine,neuter,
nominative,zauzeti,zauzete,zauzeta,
genitive,zauzetih,zauzetih,zauzetih,
dative,zauzetim(a),zauzetim(a),zauzetim(a),
accusative,zauzete,zauzete,zauzeta,
vocative,zauzeti,zauzete,zauzeta,
locative,zauzetim(a),zauzetim(a),zauzetim(a),
instrumental,zauzetim(a),zauzetim(a),zauzetim(a),
singular,masculine,feminine,neuter,
nominative,zauzeti,zauzeta,zauzeto,
genitive,zauzetog(a),zauzete,zauzetog(a),
dative,zauzetom(u/e),zauzetoj,zauzetom(u/e),
accusative,inanimateanimate,zauzetizauzetog(a),zauzetu,zauzeto
vocative,zauzeti,zauzeta,zauzeto,
locative,zauzetom(e/u),zauzetoj,zauzetom(e/u),
instrumental,zauzetim,zauzetom,zauzetim,
plural,masculine,feminine,neuter,
nominative,zauzeti,zauzete,zauzeta,
genitive,zauzetih,zauzetih,zauzetih,
dative,zauzetim(a),zauzetim(a),zauzetim(a),
accusative,zauzete,zauzete,zauzeta,
vocative,zauzeti,zauzete,zauzeta,
locative,zauzetim(a),zauzetim(a),zauzetim(a),
instrumental,zauzetim(a),zauzetim(a),zauzetim(a),
singular,masculine,feminine,neuter,
nominative,zauzetiji,zauzetija,zauzetije,
genitive,zauzetijeg(a),zauzetije,zauzetijeg(a),
dative,zauzetijem(u),zauzetijoj,zauzetijem(u),
accusative,inanimateanimate,zauzetijizauzetijeg(a),zauzetiju,zauzetije
vocative,zauzetiji,zauzetija,zauzetije,
locative,zauzetijem(u),zauzetijoj,zauzetijem(u),
instrumental,zauzetijim,zauzetijom,zauzetijim,
plural,masculine,feminine,neuter,
nominative,zauzetiji,zauzetije,zauzetija,
genitive,zauzetijih,zauzetijih,zauzetijih,
dative,zauzetijim(a),zauzetijim(a),zauzetijim(a),
accusative,zauzetije,zauzetije,zauzetija,
vocative,zauzetiji,zauzetije,zauzetija,
locative,zauzetijim(a),zauzetijim(a),zauzetijim(a),
instrumental,zauzetijim(a),zauzetijim(a),zauzetijim(a),
singular,masculine,feminine,neuter,
nominative,najzauzetiji,najzauzetija,najzauzetije,
genitive,najzauzetijeg(a),najzauzetije,najzauzetijeg(a),
dative,najzauzetijem(u),najzauzetijoj,najzauzetijem(u),
accusative,inanimateanimate,najzauzetijinajzauzetijeg(a),najzauzetiju,najzauzetije
vocative,najzauzetiji,najzauzetija,najzauzetije,
locative,najzauzetijem(u),najzauzetijoj,najzauzetijem(u),
instrumental,najzauzetijim,najzauzetijom,najzauzetijim,
plural,masculine,feminine,neuter,
nominative,najzauzetiji,najzauzetije,najzauzetija,
genitive,najzauzetijih,najzauzetijih,najzauzetijih,
dative,najzauzetijim(a),najzauzetijim(a),najzauzetijim(a),
accusative,najzauzetije,najzauzetije,najzauzetija,
vocative,najzauzetiji,najzauzetije,najzauzetija,
locative,najzauzetijim(a),najzauzetijim(a),najzauzetijim(a),
instrumental,najzauzetijim(a),najzauzetijim(a),najzauzetijim(a),
