0,1,2,3,4,5,6,7
Infinitive: тужити,Present verbal adverb: —,Past verbal adverb: ту́жӣвши,Verbal noun: —,,,,
Number,Singular,Plural,,,,,
Person,1st,2nd,3rd,1st,2nd,3rd,
Verbal forms,ја,ти,он / она / оно,ми,ви,они / оне / она,
Present,тужим,тужиш,тужи,тужимо,тужите,туже,
Future,Future I,тужит ћу2тужићу,тужит ћеш2тужићеш,тужит ће2тужиће,тужит ћемо2тужићемо,тужит ћете2тужићете,тужит ће2тужиће
Future II,будем тужио1,будеш тужио1,буде тужио1,будемо тужили1,будете тужили1,буду тужили1,
Past,Perfect,тужио сам1,тужио си1,тужио je1,тужили смо1,тужили сте1,тужили су1
Pluperfect,био сам тужио1,био си тужио1,био је тужио1,били смо тужили1,били сте тужили1,били су тужили1,
Aorist,тужих,тужише,тужише,тужисмо,тужисте,тужише,
Conditional I,тужио бих1,тужио би1,тужио би1,тужили бисмо1,тужили бисте1,тужили би1,
Conditional II,био бих тужио1,био би тужио1,био би тужио1,били бисмо тужили1,били бисте тужили1,били би тужили1,
Imperative,—,тужи,—,тужимо,тужите,—,
Active past participle,тужио m / тужила f / тужило n,тужили m / тужиле f / тужила n,,,,,
Passive past participle,тужен m / тужена f / тужено n,тужени m / тужене f / тужена n,,,,,
"1   For the masculine; agent of feminine or neuter gender would use the feminine and neuter gender forms of the active past participle and the auxiliary verb, respectively.",,,,,,,
Infinitive: тужити,Present verbal adverb: ту́же̄ћи,Past verbal adverb: —,Verbal noun: ту́же̄ње,,,,
Number,Singular,Plural,,,,,
Person,1st,2nd,3rd,1st,2nd,3rd,
Verbal forms,ја,ти,он / она / оно,ми,ви,они / оне / она,
Present,тужим,тужиш,тужи,тужимо,тужите,туже,
Future,Future I,тужит ћу2тужићу,тужит ћеш2тужићеш,тужит ће2тужиће,тужит ћемо2тужићемо,тужит ћете2тужићете,тужит ће2тужиће
Future II,будем тужио1,будеш тужио1,буде тужио1,будемо тужили1,будете тужили1,буду тужили1,
Past,Perfect,тужио сам1,тужио си1,тужио je1,тужили смо1,тужили сте1,тужили су1
Pluperfect,био сам тужио1,био си тужио1,био је тужио1,били смо тужили1,били сте тужили1,били су тужили1,
Imperfect,тужах,тужаше,тужаше,тужасмо,тужасте,тужаху,
Conditional I,тужио бих1,тужио би1,тужио би1,тужили бисмо1,тужили бисте1,тужили би1,
Conditional II,био бих тужио1,био би тужио1,био би тужио1,били бисмо тужили1,били бисте тужили1,били би тужили1,
Imperative,—,тужи,—,тужимо,тужите,—,
Active past participle,тужио m / тужила f / тужило n,тужили m / тужиле f / тужила n,,,,,
"1   For the masculine; agent of feminine or neuter gender would use the feminine and neuter gender forms of the active past participle and the auxiliary verb, respectively.",,,,,,,
