0,1,2,3,4,5,6
infinitive,accatari,,,,,
gerund,accatannu,,,,,
past participle,accatatu,,,,,
person,singular,plural,,,,
first,second,third,first,second,third,
indicative,iu,tu,iddu/idda,nuàutri,vuàutri,iddi
present,accatu,accati,accata,accatamu,accatati,accàtanu
imperfect,accatavu,accatavi,accatava,accatàvamu,accatàvavu,accatàvanu
preterite,accatai,accatasti,"accatau, accatò",accatammu,accatàstivu,accataru
present perfect,Use the present tense of aviri plus the past participle,,,,,
past perfect,Use the imperfect tense of aviri plus the past participle,,,,,
conditional1,iu,tu,iddu/idda,nuàutri,vuàutri,iddi
present,accatirìa,accatirissi,accatirìa,accatirìamu,accatirìavu,accatirìanu
past,Use the present conditional tense of aviri plus the past participle,,,,,
subjunctive,iu,tu,iddu/idda,nuàutri,vuàutri,iddi
present,accatu,accati,accata,accatamu,accatati,accàtanu
imperfect,accatassi,accatassi,accatassi,accatàssimu,accatàssivu,accatàssiru
present perfect,Use the imperfect subjunctive tense of aviri plus the past participle,,,,,
imperative,–,tu,vossìa,nuàutri,vuàutri,–
—,accata,accatassi,accatamu,accatati,—,
1disused,,,,,,
