0,1,2,3
< 1,,3 >,
Cardinal : dváOrdinal : drúgiCardinal adverb : dvákratOrdinal adverb : drúgičMultiplicative : dvójen,,,
singular,,,
,masculine,feminine,neuter
nominative,drúgi,drúga,drúgo
accusative,nominativeinan or genitiveanim,drúgo,drúgo
genitive,drúgega,drúge,drúgega
dative,drúgemu,drúgi,drúgemu
locative,drúgem,drúgi,drúgem
instrumental,drúgim,drúgo,drúgim
dual,,,
,masculine,feminine,neuter
nominative,drúga,drúgi,drúgi
accusative,drúga,drúgi,drúgi
genitive,drúgih,drúgih,drúgih
dative,drúgima,drúgima,drúgima
locative,drúgih,drúgih,drúgih
instrumental,drúgima,drúgima,drúgima
plural,,,
,masculine,feminine,neuter
nominative,drúgi,drúge,drúga
accusative,drúge,drúge,drúga
genitive,drúgih,drúgih,drúgih
dative,drúgim,drúgim,drúgim
locative,drúgih,drúgih,drúgih
instrumental,drúgimi,drúgimi,drúgimi
