0,1,2,3
infinitive,íti,,
supine,ít,,
verbal noun,—,,
participles,adjectival,adverbial,
future active,"gredóč, idóč",—,
past active,šèl,—,
past passive,—,—,
,present indicative,future indicative,imperative
1st singular,"grèm, grém",pójdem,—
2nd singular,"grèš, gréš",pójdeš,pójdi
3rd singular,"grè, gré",pójde,—
1st dual,"grêva, gréva",pójdeva,"pójdiva, pojdíva"
2nd dual,"grêsta, grésta",pójdeta,"pójdita, pojdíta"
3rd dual,"grêsta, grésta",pójdeta,—
1st plural,"grêmo, grémo",pójdemo,"pójdimo, pojdímo"
2nd plural,"grêste, gréste",pójdete,"pójdite, pojdíte"
3rd plural,"gredó, gredò, grêjo",pójdejo,—
Compound tenses (see šèl for all forms),,,
past indic.,sem šèl,,
pluperfect indic.,sem bil šèl,,
future indic.,bom šèl,,
present cond.,bi šèl,,
past cond.,bi bil šèl,,
