0,1,2,3,4,5,6,7
Audio (Argentina),,(file),,,,,
infinitive,gobernar,,,,,,
gerund,gobernando,,,,,,
past participle,,masculine,feminine,,,,
singular,gobernado,gobernada,,,,,
plural,gobernados,gobernadas,,,,,
,singular,plural,,,,,
1st person,2nd person,3rd person,1st person,2nd person,3rd person,,
indicative,,yo,túvos,él/ellausted,nosotrosnosotras,vosotrosvosotras,ellos/ellasustedes
present,gobierno,gobiernastúgobernásvos,gobierna,gobernamos,gobernáis,gobiernan,
imperfect,gobernaba,gobernabas,gobernaba,gobernábamos,gobernabais,gobernaban,
preterite,goberné,gobernaste,gobernó,gobernamos,gobernasteis,gobernaron,
future,gobernaré,gobernarás,gobernará,gobernaremos,gobernaréis,gobernarán,
conditional,gobernaría,gobernarías,gobernaría,gobernaríamos,gobernaríais,gobernarían,
,,,,,,,
subjunctive,,yo,túvos,él/ellausted,nosotrosnosotras,vosotrosvosotras,ellos/ellasustedes
present,gobierne,gobiernes,gobierne,gobernemos,gobernéis,gobiernen,
imperfect(ra),gobernara,gobernaras,gobernara,gobernáramos,gobernarais,gobernaran,
imperfect(se),gobernase,gobernases,gobernase,gobernásemos,gobernaseis,gobernasen,
future,gobernare,gobernares,gobernare,gobernáremos,gobernareis,gobernaren,
,,,,,,,
imperative,,—,túvos,usted,nosotrosnosotras,vosotrosvosotras,ustedes
affirmative,,gobiernatúgobernávos,gobierne,gobernemos,gobernad,gobiernen,
negative,,no gobiernes,no gobierne,no gobernemos,no gobernéis,no gobiernen,
