0,1,2,3
audio,,(file),
Inflection of dålig,,,
Indefinite/attributive,Positive,Comparative,Superlative2
Common singular,dålig,sämre,sämst
Neuter singular,dåligt,sämre,sämst
Plural,dåliga,sämre,sämst
Definite,Positive,Comparative,Superlative
Masculine singular1,dålige,sämre,sämste
All,dåliga,sämre,sämsta
"1) Only used, optionally, to refer to things whose natural gender is masculine.2) The indefinite superlative forms are only used in an attributive role.",,,
Inflection of dålig,,,
Indefinite/attributive,Positive,Comparative,Superlative2
Common singular,dålig,värre,värst
Neuter singular,dåligt,värre,värst
Plural,dåliga,värre,värst
Definite,Positive,Comparative,Superlative
Masculine singular1,dålige,värre,värste
All,dåliga,värre,värsta
"1) Only used, optionally, to refer to things whose natural gender is masculine.2) The indefinite superlative forms are only used in an attributive role.",,,
