0,1,2,3,4,5
audio,,(file),,,
Inflection of dam,,,,,
,Singular,Plural,,,
Indefinite,Definite,Indefinite,Definite,,
Nominative,dam,damen,damer,damerna,
Genitive,dams,damens,damers,damernas,
damallsvenskan  damavdelning  dambadhus  dambandy  dambastu  dambekantskap  dambesök  dambinda  dambjudning  dambonde  dambräde  dambricka  dambyxor  damcykel  damdubbel  damfinal  damfotboll  damfrisering,,damfrisör  damfrisörska  damgambit  damgolf  damhandboll  damhatt  damidrott  damig  damighet  damkappa  damkläder  damklass  damknäppning  damkonfektion  damkör  damlag  damlandslag  dammiddag,,damorkester  damrum  damsadel  damsällskap  damsenior  damsida  damsingel  damskidåkning  damsko  damspel  damstafett  damstrumpa  damtävling  damtidning  damtoalett  damunderkläder  damväska  hovdam,
Chess pieces in Swedish · schackpjäser (schack + pjäser) (layout · text),,,,,
,,,,,
kung,"drottning, dam",torn,löpare,"springare, häst",bonde
