0,1,2,3,4
audio,,(file),,
,Active,Passive,,
Infinitive,dricka,drickas,,
Present tense,dricker,"dricks, drickes",,
Past tense,drack,dracks,,
Supine,druckit,druckits,,
Imperative,drick,—,,
Present participle,drickande,,,
Past participle,drucken,,,
drickbar  drickbarhet,,drickning  dricks,,
Inflection of dricka,,,,
,Singular,Plural,,
Indefinite,Definite,Indefinite,Definite,
Nominative,dricka,drickan,drickor,drickorna
Genitive,drickas,drickans,drickors,drickornas
,uncountable,uncountable,,
Neuter,indefinite,definite,,
nominative,dricka,drickat,,
genitive,drickas,drickats,,
