0,1,2
fasıkça  fasıkla  fasıklı,,fasıklık  fasıksa  fasıksız
,singular (tekil),plural (çoğul)
nominative (yalın),fasık,fasıklar
definite accusative (belirtme),fasığı,fasıkları
dative (yönelme),fasığa,fasıklara
locative (bulunma),fasıkta,fasıklarda
ablative (çıkma),fasıktan,fasıklardan
genitive (tamlayan),fasığın,fasıkların
benim (my),singular (tekil),plural (çoğul)
nominative (yalın),fasığım,fasıklarım
definite accusative (belirtme),fasığımı,fasıklarımı
dative (yönelme),fasığıma,fasıklarıma
locative (bulunma),fasığımda,fasıklarımda
ablative (çıkma),fasığımdan,fasıklarımdan
genitive (tamlayan),fasığımın,fasıklarımın
senin (your),singular (tekil),plural (çoğul)
nominative (yalın),fasığın,fasıkların
definite accusative (belirtme),fasığını,fasıklarını
dative (yönelme),fasığına,fasıklarına
locative (bulunma),fasığında,fasıklarında
ablative (çıkma),fasığından,fasıklarından
genitive (tamlayan),fasığının,fasıklarının
onun (her/his/its),singular (tekil),plural (çoğul)
nominative (yalın),fasığı,fasıkları
definite accusative (belirtme),fasığını,fasıklarını
dative (yönelme),fasığına,fasıklarına
locative (bulunma),fasığında,fasıklarında
ablative (çıkma),fasığından,fasıklarından
genitive (tamlayan),fasığının,fasıklarının
bizim (our),singular (tekil),plural (çoğul)
nominative (yalın),fasığımız,fasıklarımız
definite accusative (belirtme),fasığımızı,fasıklarımızı
dative (yönelme),fasığımıza,fasıklarımıza
locative (bulunma),fasığımızda,fasıklarımızda
ablative (çıkma),fasığımızdan,fasıklarımızdan
genitive (tamlayan),fasığımızın,fasıklarımızın
sizin (your),singular (tekil),plural (çoğul)
nominative (yalın),fasığınız,fasıklarınız
definite accusative (belirtme),fasığınızı,fasıklarınızı
dative (yönelme),fasığınıza,fasıklarınıza
locative (bulunma),fasığınızda,fasıklarınızda
ablative (çıkma),fasığınızdan,fasıklarınızdan
genitive (tamlayan),fasığınızın,fasıklarınızın
onların (their),singular (tekil),plural (çoğul)
nominative (yalın),fasıkları,fasıkları
definite accusative (belirtme),fasıklarını,fasıklarını
dative (yönelme),fasıklarına,fasıklarına
locative (bulunma),fasıklarında,fasıklarında
ablative (çıkma),fasıklarından,fasıklarından
genitive (tamlayan),fasıklarının,fasıklarının
simple present,singular,plural
ben (I am),fasığım,fasıklarım*
sen (you are),fasıksın,fasıklarsın*
o (he/she/it is),fasık / fasıktır,fasıklar* / fasıklardır*
biz (we are),fasığız,fasıklarız
siz (you are),fasıksınız,fasıklarsınız
onlar (they are),fasıklar,fasıklardır
simple past,singular,plural
ben (I was),fasıktım,fasıklardım*
sen (you were),fasıktın,fasıklardın*
o (he/she/it was),fasıktı,fasıklardı*
biz (we were),fasıktık,fasıklardık
siz (you were),fasıktınız,fasıklardınız
onlar (they were),fasıktılar,fasıklardı
indirect / unwitnessed past,singular,plural
ben (I was),fasıkmışım,fasıklarmışım*
sen (you were),fasıkmışsın,fasıklarmışsın*
o (he/she/it was),fasıkmış,fasıklarmış*
biz (we were),fasıkmışız,fasıklarmışız
siz (you were),fasıkmışsınız,fasıklarmışsınız
onlar (they were),fasıkmışlar,fasıklarmış
"*Not used, but perhaps rarely - chiefly grammatical formations. Note: Plural forms are not used with adjectives.",,
