0,1,2,3,4,5,6
okumaca  okumacı,,okumacık  okumalı,,okumasız  okumayken,,okumayla  okumaysa
,singular (tekil),plural (çoğul),,,,
nominative (yalın),okuma,okumalar,,,,
definite accusative (belirtme),okumayı,okumaları,,,,
dative (yönelme),okumaya,okumalara,,,,
locative (bulunma),okumada,okumalarda,,,,
ablative (çıkma),okumadan,okumalardan,,,,
genitive (tamlayan),okumanın,okumaların,,,,
benim (my),singular (tekil),plural (çoğul),,,,
nominative (yalın),okumam,okumalarım,,,,
definite accusative (belirtme),okumamı,okumalarımı,,,,
dative (yönelme),okumama,okumalarıma,,,,
locative (bulunma),okumamda,okumalarımda,,,,
ablative (çıkma),okumamdan,okumalarımdan,,,,
genitive (tamlayan),okumamın,okumalarımın,,,,
senin (your),singular (tekil),plural (çoğul),,,,
nominative (yalın),okuman,okumaların,,,,
definite accusative (belirtme),okumanı,okumalarını,,,,
dative (yönelme),okumana,okumalarına,,,,
locative (bulunma),okumanda,okumalarında,,,,
ablative (çıkma),okumandan,okumalarından,,,,
genitive (tamlayan),okumanın,okumalarının,,,,
onun (her/his/its),singular (tekil),plural (çoğul),,,,
nominative (yalın),okuması,okumaları,,,,
definite accusative (belirtme),okumasını,okumalarını,,,,
dative (yönelme),okumasına,okumalarına,,,,
locative (bulunma),okumasında,okumalarında,,,,
ablative (çıkma),okumasından,okumalarından,,,,
genitive (tamlayan),okumasının,okumalarının,,,,
bizim (our),singular (tekil),plural (çoğul),,,,
nominative (yalın),okumamız,okumalarımız,,,,
definite accusative (belirtme),okumamızı,okumalarımızı,,,,
dative (yönelme),okumamıza,okumalarımıza,,,,
locative (bulunma),okumamızda,okumalarımızda,,,,
ablative (çıkma),okumamızdan,okumalarımızdan,,,,
genitive (tamlayan),okumamızın,okumalarımızın,,,,
sizin (your),singular (tekil),plural (çoğul),,,,
nominative (yalın),okumanız,okumalarınız,,,,
definite accusative (belirtme),okumanızı,okumalarınızı,,,,
dative (yönelme),okumanıza,okumalarınıza,,,,
locative (bulunma),okumanızda,okumalarınızda,,,,
ablative (çıkma),okumanızdan,okumalarınızdan,,,,
genitive (tamlayan),okumanızın,okumalarınızın,,,,
onların (their),singular (tekil),plural (çoğul),,,,
nominative (yalın),okumaları,okumaları,,,,
definite accusative (belirtme),okumalarını,okumalarını,,,,
dative (yönelme),okumalarına,okumalarına,,,,
locative (bulunma),okumalarında,okumalarında,,,,
ablative (çıkma),okumalarından,okumalarından,,,,
genitive (tamlayan),okumalarının,okumalarının,,,,
