0,1,2,3,4,5,6,7
,singular,plural,,,,,
,1st person,2nd person,3rd person,1st person,2nd person,3rd person,
,ben,sen,o,biz,siz,onlar,
indicative,present simple,gizlenirim,gizlenirsin,gizlenir,gizleniriz,gizlenirsiniz,gizlenirler
present continuous,gizleniyorum,gizleniyorsun,gizleniyor,gizleniyoruz,gizleniyorsunuz,gizleniyorlar,
past definite,gizlendim,gizlendin,gizlendi,gizlendik,gizlendiniz,gizlendiler,
past continuous,gizleniyordum,gizleniyordun,gizleniyordu,gizleniyorduk,gizleniyordunuz,gizleniyorlardı,
future simple,gizleneceğim,gizleneceksin,gizlenecek,gizleneceğiz,gizleneceksiniz,gizlenecekler,
,singular,plural,,,,,
,1st person,2nd person,3rd person,1st person,2nd person,3rd person,
,ben,sen,o,biz,siz,onlar,
indicative,present simple,gizlenir miyim?,gizlenir misin?,gizlenir mi?,gizlenir miyiz?,gizlenir misiniz?,gizlenirler mi?
present continuous,gizleniyor muyum?,gizleniyor musun?,gizleniyor mu?,gizleniyor muyuz?,gizleniyor musunuz?,gizleniyorlar mı?,
past definite,gizlendim mi?,gizlendin mi?,gizlendi mi?,gizlendik mi?,gizlendiniz mi?,gizlendiler mi?,
past continuous,gizleniyor muydum?,gizleniyor muydun?,gizleniyor muydu?,gizleniyor muyduk?,gizleniyor muydunuz?,gizleniyorlar mıydı?,
future simple,gizlenecek miyim?,gizlenecek misin?,gizlenecek mi?,gizlenecek miyiz?,gizlenecek misiniz?,gizlenecekler mi?,
,singular,plural,,,,,
,1st person,2nd person,3rd person,1st person,2nd person,3rd person,
,ben,sen,o,biz,siz,onlar,
indicative,present simple,gizlenmem,gizlenmezsin,gizlenmez,gizlenmeyiz,gizlenmezsiniz,gizlenmezler
present continuous,gizlenmiyorum,gizlenmiyorsun,gizlenmiyor,gizlenmiyoruz,gizlenmiyorsunuz,gizlenmiyorlar,
past definite,gizlenmedim,gizlenmedin,gizlenmedi,gizlenmedik,gizlenmediniz,gizlenmediler,
past continuous,gizlenmiyordum,gizlenmiyordun,gizlenmiyordu,gizlenmiyorduk,gizlenmiyordunuz,gizlenmiyordular,
future simple,gizlenmeyeceğim,gizlenmeyeceksin,gizlenmeyecek,gizlenmeyeceğiz,gizlenmeyeceksiniz,gizlenmeyecekler,
,singular,plural,,,,,
,1st person,2nd person,3rd person,1st person,2nd person,3rd person,
,ben,sen,o,biz,siz,onlar,
indicative,present simple,gizlenmez miyim?,gizlenmez misin?,gizlenmez mi?,gizlenmez miyiz?,gizlenmez misiniz?,gizlenmezler mi?
present continuous,gizlenmiyor muyum?,gizlenmiyor musun?,gizlenmiyor mu?,gizlenmiyor muyuz?,gizlenmiyor musunuz?,gizlenmiyorlar mı?,
past definite,gizlenmedim mi?,gizlenmedin mi?,gizlenmedi mi?,gizlenmedik mi?,gizlenmediniz mi?,gizlenmediler mi?,
past continuous,gizlenmiyor muydum?,gizlenmiyor muydun?,gizlenmiyor muydu?,gizlenmiyor muyduk?,gizlenmiyor muydunuz?,gizlenmiyorlar mıydı?,
future simple,gizlenmeyecek miyim?,gizlenmeyecek misin?,gizlenmeyecek mi?,gizlenmeyecek miyiz?,gizlenmeyecek misiniz?,gizlenmeyecekler mi?,
