0,1,2,3,4,5
Audio,,(file),,,
,masculine,neuter,feminine,plural,
nominative,іспа́нськийispánsʹkyj,"іспа́нське, іспа́нськеє*ispánsʹke, ispánsʹkeje*","іспа́нська, іспа́нськая*ispánsʹka, ispánsʹkaja*","іспа́нські, іспа́нськії*ispánsʹki, ispánsʹkiji*",
genitive,іспа́нськогоispánsʹkoho,іспа́нськоїispánsʹkoji,іспа́нськихispánsʹkyx,,
dative,іспа́нськомуispánsʹkomu,іспа́нськійispánsʹkij,іспа́нськимispánsʹkym,,
accusative,animate,іспа́нськогоispánsʹkoho,"іспа́нське, іспа́нськеє*ispánsʹke, ispánsʹkeje*","іспа́нську, іспа́нськую*ispánsʹku, ispánsʹkuju*",іспа́нськихispánsʹkyx
inanimate,іспа́нськийispánsʹkyj,"іспа́нські, іспа́нськії*ispánsʹki, ispánsʹkiji*",,,
instrumental,іспа́нськимispánsʹkym,іспа́нськоюispánsʹkoju,іспа́нськимиispánsʹkymy,,
locative,"іспа́нському, іспа́нськімispánsʹkomu, ispánsʹkim",іспа́нськійispánsʹkij,іспа́нськихispánsʹkyx,,
notes,* Dated or dialectal,,,,
