0,1,2
Audio,,(file)
,singular,plural
nominative,ча́йкаčájka,ча́йки́čájký
genitive,ча́йкиčájky,ча́йо́кčájók
dative,ча́йціčájci,ча́йка́мčájkám
accusative,ча́йкуčájku,"ча́йки́, ча́йо́кčájký, čájók"
instrumental,ча́йкоюčájkoju,ча́йка́миčájkámy
locative,ча́йціčájci,ча́йка́хčájkáx
vocative,ча́йкоčájko,ча́йки́čájký
,singular,plural
nominative,ча́йкаčájka,ча́йкиčájky
genitive,ча́йкиčájky,ча́йокčájok
dative,ча́йціčájci,ча́йкамčájkam
accusative,ча́йкуčájku,ча́йкиčájky
instrumental,ча́йкоюčájkoju,ча́йкамиčájkamy
locative,ча́йціčájci,ча́йкахčájkax
vocative,ча́йкоčájko,ча́йкиčájky
