0,1,2
Audio,,(file)
imperfective aspect,,
infinitive,ї́здити (jízdyty),
participles,present tense,past tense
active,ї́здячи (jízdjačy),ї́здивши (jízdyvšy)
passive,—,ї́жджений (jíždženyj)impersonal: ї́жджено (jíždženo)
adverbial,—,—
,present tense,future tense
1st singular я,ї́жджу (jíždžu),бу́ду ї́здити (búdu jízdyty) ї́здитиму (jízdytymu)
2nd singular ти,ї́здиш (jízdyš),бу́деш ї́здити (búdeš jízdyty) ї́здитимеш (jízdytymeš)
3rd singular він / вона / воно,ї́здить (jízdytʹ),бу́де ї́здити (búde jízdyty) ї́здитиме (jízdytyme)
1st plural ми,"ї́здимо, ї́здим (jízdymo, jízdym)",бу́демо ї́здити (búdemo jízdyty) ї́здитимемо (jízdytymemo)
2nd plural ви,ї́здите (jízdyte),бу́дете ї́здити (búdete jízdyty) ї́здитимете (jízdytymete)
3rd plural вони,ї́здять (jízdjatʹ),бу́дуть ї́здити (búdutʹ jízdyty) ї́здитимуть (jízdytymutʹ)
imperative,singular,plural
first-person,—,ї́здьмо (jízdʹmo)
second-person,їздь (jizdʹ),ї́здьте (jízdʹte)
past tense,singular,plural ми / ви / вони
masculine я / ти / він,ї́здив (jízdyv),ї́здили (jízdyly)
feminine я / ти / вона,ї́здила (jízdyla),
neuter воно,ї́здило (jízdylo),
"imperfective  від'їжджа́ти ‎(vidʺjiždžáty), від'їзди́ти ‎(vidʺjizdýty)  переїжджа́ти ‎(perejiždžáty), переїзди́ти ‎(perejizdýty)  приїжджа́ти ‎(pryjiždžáty), приїзди́ти ‎(pryjizdýty)",,perfective  від'ї́хати ‎(vidʺjíxaty)  переї́хати ‎(perejíxaty)  приї́хати ‎(pryjíxaty)
