0,1,2,3,4,5,6,7
Note: Hover mouse over Arabic script for Latin-alphabet transliterations.,,,,,,,
,,,,,,,
ہونا,direct,infinitive,,,,,
ہونے,indirect,,,,,,
Note: Hover mouse over Arabic script for Latin-alphabet transliterations.,,,,,,,
,,,,,,,
ہو,تو,singular,,,,,
,,,,,,,
ہو,تم,singular or plural,,,,,
ہوجئے,آپ,,,,,,
Note: Hover mouse over Arabic script for Latin-alphabet transliterations.,,,,,,,
,,,,,,,
{{{11}}},conjunctive,,,,,,
{{{13}}},agentive / prospective,,,,,,
,singular,plural,,,,,
,1st person,2nd person,3rd person,1st person,2nd person,3rd person,
,میں (m͠ai),تو (tū),وہ (vo),ہم (ham),تم (tum),وہ (vo),
indicative,present,ہوں (hū̃),ہے (hai),ہے (hai),ہیں (h͠ai),ہو (ho),ہیں (h͠ai)
past imperfect,تھا (thā),تھا (thā),تھا (thā),تھے (the),تھے (the),تھے (the),
preterite,ہوا (huā),ہوا (huā),ہوا (huā),ہوے (hue),ہوے (hue),ہوے (hue),
future,ہوں گا (hū̃ṅgā),ہو گا (hogā),ہو گا (hogā),ہوں گے (hõṅge),ہو گے (hoge),ہوں گے (hõṅge),
,singular,plural,,,,,
,1st person,2nd person,3rd person,1st person,2nd person,3rd person,
,میں (m͠ai),تو (tū),وہ (vo),ہم (ham),تم (tum),وہ (vo),
indicative,present,ہوں (hū̃),ہے (hai),ہے (hai),ہیں (h͠ai),ہو (ho),ہیں (h͠ai)
past imperfect,تھی (thī),تھی (thī),تھی (thī),تھیں (thī̃),تھیں (thī̃),تھیں (thī̃),
preterite,ہوئی (huī),ہوئی (huī),ہوئی (huī),ہوئیں (huī̃),ہوئیں (huī̃),ہوئیں (huī̃),
future,ہوں گی (hū̃ṅgī),ہو گی (hogī),ہو گی (hogī),ہوں گی (hõṅgī),ہو گی (hogī),ہوں گی (hõṅgī),
