0,1,2,3,4,5,6,7
,singular,plural,impersonal,,,,
first,second,third,first,second,third,,
present/future,gofynnaf,gofynni,gofyn,gofynnwn,gofynnwch,gofynnant,gofynnir
imperfect/conditional,gofynnwn,gofynnit,gofynnai,gofynnem,gofynnech,gofynnent,gofynnid
preterite,gofynnais,gofynnaist,gofynnodd,gofynasom,gofynasoch,gofynasant,gofynnwyd
pluperfect,gofynaswn,gofynasit,gofynasai,gofynasem,gofynasech,gofynasent,"gofynasid, gofynesid"
subjunctive,gofynnwyf,gofynnych,gofynno,gofynnom,gofynnoch,gofynnont,gofynner
imperative,—,"gofyn, gofynna",gofynned,gofynnwn,gofynnwch,gofynnent,gofynner
verbal noun,gofyn,,,,,,
verbal adjectives,gofynediggofynadwy,,,,,,
Welsh mutation,,,,,,,
radical,soft,nasal,aspirate,,,,
gofyn,ofyn,ngofyn,unchanged,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,
