0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
infinitive,שײַנעןshaynen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
present participle,שײַנענדיקshaynendik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
past participle,געשײַנטgeshaynt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
auxiliary,האָבןhobn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
present,איך שײַןikh shayn,מיר שײַנעןmir shaynen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דו שײַנסטdu shaynst,איר שײַנטir shaynt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ער שײַנטer shaynt,זיי שײַנעןzey shaynen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imperative,שײַן (דו)shayn (du),שײַנט (איר)shaynt (ir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
